id,seed_text(prime_text),generated_text,perplexity,readability_(0-10),relevance_(R/I),difficulty_score,difficulty_label,school_grade_level,#_syllables,#_words,#_sentences,#_difficult_words,,,
-,-,"save with expedia's price guarantee. save on hotels in barcelona, mi.",-,-,-,74.35,Fairly Easy,6th and 7th grade,16,11,2,3,,,
-,-,"book at the lancaster, milan. no reservation costs. great rates.",-,-,-,74.86,Fairly Easy,6th and 7th grade,15,10,2,3,,,
-,-,"book a hotel near harbor stadium, saint pori. save up to 50% on your reservation.",-,-,-,80.78,Easy,5th and 6th grade,21,15,2,2,,,
-,-,"book at the strattor hotel, north beach. no reservation costs. great rates.",-,-,-,90.77,Very Easy,1th and 2th grade,16,12,2,3,,,
-,-,"book your hotel in san francisco, ny online. no reservation costs. great rates.",-,-,-,73.34,Fairly Easy,13th and 14th grade,19,13,2,3,,,
-,-,book a hotel near singepore station. save up to 50% on your reservation.,-,-,-,81.8,Easy,3th and 4th grade,18,13,2,3,,,
-,-,book your hotel in bellavie wa online. no reservation costs. great rates.,-,-,-,90.77,Very Easy,1th and 2th grade,16,12,2,2,,,
-,-,"book at the belfast hotel & spa, salama city. no reservation costs. great rates.",-,-,-,81.8,Easy,5th and 6th grade,18,13,2,2,,,
-,-,"book at hotel el zermark, sai francisco. no reservation costs. great rates.",-,-,-,73.85,Fairly Easy,6th and 7th grade,18,12,2,3,,,
-,-,"book a hotel near minghea station, london. save up to 50% on your reservation.",-,-,-,81.29,Easy,3th and 4th grade,19,14,2,3,,,
-,-,"book at the bangkok hotel, lisbon. no reservation costs. great rates.",-,-,-,82.81,Easy,9th and 10th grade,15,11,2,3,,,
-,-,"book at hotel excelsior cancn, canco. no reservation costs. great rates.",-,-,-,65.89,Standard,7th and 8th grade,18,11,2,4,,,
-,-,"book at the santa carino, bangkok. no reservation costs. great rates.",-,-,-,82.81,Easy,9th and 10th grade,15,11,2,3,,,
-,-,best rates or refund + $50 coupon. book your hotel in san juan today!,-,-,-,90.26,Very Easy,2th and 3th grade,17,13,2,2,,,
-,-,"book at the san francisco atlenta, san francisco. no reservation costs. great rates.",-,-,-,64.88,Standard,8th and 9th grade,21,13,2,4,,,
-,-,"book at the san francisco hotel, london. no reservation costs. great rates.",-,-,-,73.85,Fairly Easy,6th and 7th grade,18,12,2,4,,,
-,-,"best rates or refund + $50 coupon. save big on hotels in santa cana, ma.",-,-,-,89.75,Easy,2th and 3th grade,18,14,2,3,,,
-,-,book at hotel expedia price guarantee. book a package to california.,-,-,-,48.97,Difficult,7th and 8th grade,20,11,2,3,,,
-,-,best rates or refund + $50 coupon. book your hotel near singapore today!,-,-,-,73.85,Fairly Easy,7th and 8th grade,18,12,2,3,,,
-,-,best rates on the park hatel hotel. plan your next trip with expedia.,-,-,-,90.26,Very Easy,1th and 2th grade,17,13,2,3,,,
-,-,best rates on hotel cariso rome. plan your next trip with expedia.,-,-,-,90.77,Very Easy,5th and 6th grade,15,12,2,1,,,
-,-,"book at the belley hotel, los angeles. no reservation costs. great rates.",-,-,-,73.85,Fairly Easy,17th and 18th grade,18,12,2,4,,,
-,-,book a hotel near haka ant save up to 50% on your reservation.,-,-,-,83.66,Easy,4th and 5th grade,17,13,1,2,,,
-,-,best rates on the palmaria hotel. plan your next trip with expedia.,-,-,-,90.77,Very Easy,1th and 2th grade,16,12,2,3,,,
-,-,"book a hotel near mintingar station, london. save up to 50% on your reservation.",-,-,-,81.29,Easy,8th and 9th grade,20,14,2,4,,,
-,-,"book at the langkake hotel, tulum. no reservation costs. great rates.",-,-,-,82.81,Easy,9th and 10th grade,15,11,2,3,,,
-,-,"book at the london hotel, london. no reservation costs. great rates",-,-,-,74.35,Fairly Easy,9th and 10th grade,16,11,2,4,,,
-,-,"find things to do in milmi beach, ma. save bit on toirs & sightseeing!",-,-,-,90.26,Very Easy,2th and 3th grade,17,13,2,2,,,
-,-,book a hotel near haker street san diego city. save up to 50% on your reservation.,-,-,-,88.74,Easy,2th and 3th grade,20,16,2,2,,,
-,-,book your hotel near sin antonio airport. no reservation costs. great rates.,-,-,-,73.85,Fairly Easy,7th and 8th grade,18,12,2,3,,,
-,-,best rates or refund + $50 coupon. save on motels in barchana and save big!,-,-,-,98.21,Very Easy,2th and 3th grade,17,14,2,2,,,
-,-,"book a hotel near st georgia airport, boston. no reservation costs. great rates.",-,-,-,73.34,Fairly Easy,6th and 7th grade,19,13,2,4,,,
-,-,"the bangkak hotel in bangkok, near marina and fall-service spa.",-,-,-,78.25,Fairly Easy,13th and 14th grade,14,10,1,2,,,
-,-,book a b&b in barcelona online. no reservation costs. great rates.,-,-,-,91.27,Very Easy,1th and 2th grade,14,11,2,2,,,
-,-,"book at the belley hotel, miami beach. no reservation costs. great rates.",-,-,-,73.85,Fairly Easy,17th and 18th grade,18,12,2,4,,,
-,-,book your hotel in bathens online. no reservation costs. great rates.,-,-,-,74.35,Fairly Easy,6th and 7th grade,16,11,2,3,,,
-,-,"best rates or refund + $50 coupon. save on hotels in belling, india.",-,-,-,90.77,Very Easy,7th and 8th grade,16,12,2,3,,,
-,-,"book at hotel el zago, rome. no reservation costs. great rates.",-,-,-,82.81,Easy,6th and 7th grade,15,11,2,2,,,
-,-,"book at the santa barbara, barcelona. no reservation costs. great rates.",-,-,-,82.81,Easy,7th and 8th grade,15,11,2,3,,,
-,-,book your hotel in berlin online. no reservation costs. great rates.,-,-,-,82.81,Easy,6th and 7th grade,15,11,2,2,,,
-,-,"book at the beach resort & spa, san francisco. no reservation costs. great rates.",-,-,-,73.34,Fairly Easy,6th and 7th grade,19,13,2,3,,,
-,-,book a b&b in stanbury online. no reservation costs. great rates.,-,-,-,82.81,Easy,7th and 8th grade,15,11,2,3,,,
-,-,"book at the san francisco, new york. no reservation costs. great rates.",-,-,-,90.77,Very Easy,1th and 2th grade,16,12,2,2,,,
-,-,"book at the belleven hotel, miami beach. no reservation costs. great rates.",-,-,-,82.31,Easy,7th and 8th grade,17,12,2,3,,,
-,-,"book at the langkok hotel, london. no reservation costs. great rates.",-,-,-,82.81,Easy,9th and 10th grade,15,11,2,3,,,
-,-,"best rates or refund + $50 coupon. book your hotel in san francisco, tx.",-,-,-,81.8,Easy,5th and 6th grade,18,13,2,2,,,
-,-,"book at the salt beach hotel, london. no reservation costs. great rates.",-,-,-,90.77,Very Easy,1th and 2th grade,16,12,2,3,,,
-,-,book a b&b in bridgen online. no reservation costs. great rates.,-,-,-,82.81,Easy,7th and 8th grade,15,11,2,3,,,
-,-,"book at the salina best hotel, london. no reservation costs. great rates.",-,-,-,82.31,Easy,5th and 6th grade,17,12,2,4,,,
-,-,best rates on hotel cariso pleza. plan your next trip with expedia.,-,-,-,90.77,Very Easy,1th and 2th grade,15,12,2,1,,,
-,-,book at the lodge hotel at expedia. no reservation costs. great rates.,-,-,-,82.31,Easy,7th and 8th grade,17,12,2,2,,,
-,-,"best rates or refund + $50 coupon. save on hotels in banff airport, ga.",-,-,-,90.26,Very Easy,2th and 3th grade,17,13,2,3,,,
-,-,"book at hotel elee park, playa del carmen. no reservation costs. great rates.",-,-,-,90.26,Very Easy,1th and 2th grade,17,13,2,2,,,
-,-,"best rates or refund + $50 coupon. save on hotels in barcelona, italy.",-,-,-,90.77,Very Easy,6th and 7th grade,15,12,2,2,,,
-,-,best rates or refund + $50 coupon. book your san juse hotel today!,-,-,-,90.77,Very Easy,2th and 3th grade,16,12,2,2,,,
-,-,"book a hotel near st germont ariza, montral. get instant confirmation.",-,-,-,65.89,Standard,8th and 9th grade,18,11,2,3,,,
-,-,"book at the lake hotel, los angeles. no reservation costs. great rates.",-,-,-,82.31,Easy,7th and 8th grade,17,12,2,3,,,
-,-,book a hotel near harbor park. save up to 50% on your reservation.,-,-,-,90.26,Very Easy,1th and 2th grade,17,13,2,1,,,
-,-,book a hotel near harlis airport. save up to 50% on your reservation.,-,-,-,90.26,Very Easy,1th and 2th grade,17,13,2,2,,,
-,-,best rates or refund + $50 coupon. book your hanging in hotel today!,-,-,-,82.31,Easy,3th and 4th grade,17,12,2,3,,,
-,-,book at hotel santa caral barcelona. no reservation costs. great rates.,-,-,-,74.35,Fairly Easy,7th and 8th grade,16,11,2,3,,,
-,-,book a hotel near st george street. save up to 50% on your reservation.,-,-,-,98.21,Very Easy,1th and 2th grade,17,14,2,1,,,
-,-,"secure value with expedias price guarantee. save on hotels in benidorm, mi.",-,-,-,65.39,Standard,17th and 18th grade,19,12,2,4,,,
-,-,best rates or refund + $50 coupon. book your hotel in saint-martin co on expedia,-,-,-,81.29,Easy,3th and 4th grade,20,14,2,3,,,
-,-,book a hotel near harbour street. save up to 50% on your reservation.,-,-,-,90.26,Very Easy,1th and 2th grade,17,13,2,2,,,
-,-,"save with expedia's price guarantee. save on hotels in san juse, ca.",-,-,-,82.31,Easy,3th and 4th grade,17,12,2,3,,,
-,-,"book at the langkok hotel, tokoo. no reservation costs. great rates.",-,-,-,91.27,Very Easy,1th and 2th grade,14,11,2,2,,,
-,-,"best rates or refund + $50 coupon. save on hotels in bangkok, minnesota.",-,-,-,82.31,Easy,7th and 8th grade,17,12,2,3,,,
-,-,book your hotel in bridgen online. no reservation costs. great rates.,-,-,-,74.35,Fairly Easy,6th and 7th grade,16,11,2,3,,,
-,-,best rates or refund + $50 coupon. book your hotel near manala anrport today!,-,-,-,73.34,Fairly Easy,4th and 5th grade,20,13,2,4,,,
-,-,"book at the longer hotel, london. no reservation costs. great rates.",-,-,-,82.81,Easy,8th and 9th grade,15,11,2,3,,,
-,-,best rates on the park hotel & costare. plan your next trip with expedia.,-,-,-,90.26,Very Easy,7th and 8th grade,17,13,2,1,,,
-,-,"book at the belfast inn, new york. no reservation costs. great rates.",-,-,-,99.23,Very Easy,7th and 8th grade,14,12,2,1,,,
-,-,"book at the bangkak, key west. no reservation costs. great rates.",-,-,-,99.73,Very Easy,7th and 8th grade,13,11,2,1,,,
-,-,best rates or refund + $50 coupon. save big on hotels in singapore.,-,-,-,82.31,Easy,5th and 6th grade,17,12,2,3,,,
-,-,book your hotel in san francesco city centre. no reservation costs. great rates.,-,-,-,90.26,Very Easy,10th and 11th grade,17,13,2,2,,,
-,-,book your hotel in saint market ca online. no reservation costs. great rates.,-,-,-,81.8,Easy,5th and 6th grade,18,13,2,2,,,
-,-,"book at the beach hotel & suites, lake carme. no reservation costs. great rates.",-,-,-,90.26,Very Easy,9th and 10th grade,17,13,2,1,,,
-,-,"book at the london, london. no reservation costs. great rates.",-,-,-,83.32,Easy,8th and 9th grade,14,10,2,3,,,
-,-,"book at the starlotte hotel, london. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,9th and 10th grade,16,11,2,4,,,
-,-,book your hotel in barrelona online. no reservation costs. great rates.,-,-,-,74.35,Fairly Easy,7th and 8th grade,16,11,2,3,,,
-,-,"save with expedia's price guarantee. save on hotels in bellard, mi.",-,-,-,74.35,Fairly Easy,9th and 10th grade,17,11,2,4,,,
-,-,"book at the belley hotel, london. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,9th and 10th grade,16,11,2,4,,,
-,-,"book at hotel excel inn, saint jeru. no reservation costs. great rates.",-,-,-,90.77,Very Easy,1th and 2th grade,16,12,2,2,,,
-,-,"book at the stratford inn, san francisco. no reservation costs. great rates.",-,-,-,82.31,Easy,7th and 8th grade,17,12,2,3,,,
-,-,book your hotel in suran online. no reservation costs. great rates.,-,-,-,82.81,Easy,5th and 6th grade,15,11,2,2,,,
-,-,"book at the lodge and spa, san antonio. no reservation costs. great rates.",-,-,-,90.26,Very Easy,1th and 2th grade,17,13,2,2,,,
,,,,,,,,,,,,,,Difficulty,count
,,,,,,,,,,,,,,Very Easy,36
,,,,,,,,,,,,,,Easy,38
,,,,,,,,,,,,,,Fairly Easy,21
,,,,,,,,,,,,,,Standard,4
,,,,,,,,,,,,,,Fairly Difficult,0
,,,,,,,,,,,,,,Difficult,1
,,,,,,,,,,,,,,Very Confusing,0
