id,seed_text(prime_text),generated_text,perplexity,readability_(0-10),relevance_(R/I),difficulty_score,difficulty_label,grade_level_(avg),school_grade_level,#_syllables,#_words,#_sentences,#_difficult_words
-,-,save byd apartment in baine city. easy and save big!find exclusive deals o,-,-,-,100.95,Other Value,3.2513846153846164,6th and 7th grade,16,13,3,1
-,-,"kualand.san petala, san antonio. no reservation costs. great rates.book at",-,-,-,49.48,Other Value,12.005999999999998,11th and 12th grade,18,10,2,5
-,-,islands. star hotel de moni dary. best price guarantee.wathens las vegas near,-,-,-,67.42,Standard,7.006666666666666,8th and 9th grade,19,12,3,3
-,-,"near stl, avender eadohe park, port auburg park. no reservation costs. gre",-,-,-,82.31,Easy,7.023999999999999,9th and 10th grade,17,12,2,3
-,-,carnegie mellon university online. no reservation costs. great rates.freekra cruises on the gran,-,-,-,58.65,Fairly Difficult,11.134974358974358,14th and 15th grade,22,13,3,6
-,-,rates. no reservatiovvttowine santorick onlige. no reservation costs. great,-,-,-,49.99,Other Value,13.443555555555555,10th and 11th grade,16,9,2,4
-,-,greatx.no relicona hotels.best rates or refund + $50 coupon. hotels in banf,-,-,-,67.72,Standard,8.230424242424244,7th and 8th grade,18,11,3,4
-,-,freeport.book a topby hotels near vallartiik guesthouse a gate garden.book now,-,-,-,43.39,Difficult,14.739636363636365,12th and 13th grade,20,11,1,6
-,-,"reservation !stany sap-onlard, near basermorlage. save big on hotels in pierre.mo",-,-,-,57.43,Fairly Difficult,11.592363636363634,11th and 12th grade,19,11,2,5
-,-,"hulle none - blankjeater beach, miami beach. no reservation costs. great r",-,-,-,74.35,Fairly Easy,7.536545454545456,6th and 7th grade,16,11,2,2
-,-,"compare great sant beach, fustano book your motels.save choicls, best price o",-,-,-,90.77,Very Easy,6.747333333333333,1th and 2th grade,15,12,2,2
-,-,"rates. 147,00+ hotels near central park pa.best rates or refund + $50 coupon",-,-,-,90.77,Very Easy,7.106,7th and 8th grade,16,12,2,3
-,-,"ambassadordon's nace, venice. best price guarantee.bakirium athens, krass copper",-,-,-,34.59,Difficult,12.217111111111107,7th and 8th grade,18,9,3,2
-,-,kangarooys inn naples. best price guarantee.pearlworrd village greecebraverset,-,-,-,1.05,Very Confusing,15.77466666666667,13th and 14th grade,19,8,3,3
-,-,"hotels. # reavibicces, mryline. get expedia's great travel orlando, bosign.mo",-,-,-,11.58,Very Confusing,19.320222222222224,13th and 14th grade,20,9,1,7
-,-,refundt in west martighland. lowest price guarantee!droompallest albagwich c,-,-,-,17.67,Very Confusing,14.280444444444447,12th and 13th grade,20,9,3,5
-,-,hotel+ en anchorage melbourne from mountainselonter el sea.dest in miami be,-,-,-,40.51,Difficult,11.823636363636362,12th and 13th grade,21,11,2,6
-,-,"portofino, chriun. best price guarantee! salamiri view resort & spa, nyc. no res",-,-,-,73.85,Fairly Easy,8.916666666666666,17th and 18th grade,18,12,2,4
-,-,"savebook at hotel parligliz, holyok. no reservation costs. great rates.gra",-,-,-,74.86,Fairly Easy,9.806000000000001,15th and 16th grade,15,10,2,3
-,-,"hotels nome - las villatt resort, canilly. no reservation costs. great rates",-,-,-,65.89,Standard,10.376363636363637,8th and 9th grade,18,11,2,5
-,-,bige yowppoo risco banff airport today!best rates or refund +$50 coupon.,-,-,-,74.35,Fairly Easy,8.077818181818182,7th and 8th grade,16,11,2,3
-,-,negrils tom scarbergle hotel today!best rates or refund + $50 coupon. book y,-,-,-,65.39,Standard,8.422666666666666,17th and 18th grade,19,12,2,4
-,-,reservation cos.s. great rates!modalli mont-tremmer's hotel waterbook at grand ug,-,-,-,35.95,Difficult,15.04,10th and 11th grade,19,10,1,4
-,-,greatid. no reservation costs. great rates.book a motel in cairns casino or,-,-,-,82.31,Easy,7.912666666666666,17th and 18th grade,17,12,2,4
-,-,"bookal prict.search aves resort, izglos, salta. no reservation costs. grea",-,-,-,66.4,Standard,10.776,11th and 12th grade,16,10,2,4
-,-,"shopping restat/ant mkon.boardwalk, wembley amsterdambe, niagara wall. no rese",-,-,-,16.15,Very Confusing,15.886444444444445,12th and 13th grade,20,9,2,5
-,-,"hotelh virnes palace, romon. no reservation costs. great rates!the isla muj",-,-,-,76.18,Fairly Easy,7.435818181818182,7th and 8th grade,16,11,3,3
-,-,"panoramicg kyburg hotel club, los alexu. no reservation costs. great rates.carl",-,-,-,74.35,Fairly Easy,9.40981818181818,14th and 15th grade,16,11,2,3
-,-,"zagreb.fand restaurant and bungaluce t river, cambrith . no reservation cost",-,-,-,49.48,Other Value,12.322,11th and 12th grade,18,10,2,5
-,-,"book aleprand!discounts on things to do in salt falls, near south waikik,",-,-,-,93.14,Very Easy,7.730666666666667,4th and 5th grade,14,12,1,1
-,-,georges.book your area deals on hotels in city beach.exclubbook your accommod,-,-,-,74.35,Fairly Easy,9.697090909090909,9th and 10th grade,17,11,2,4
-,-,"saveboear hotel 533ccomnddafforad. hotel stralk hotel, al camel. no reserv",-,-,-,49.48,Other Value,11.456,11th and 12th grade,18,10,2,4
-,-,"site!decpratiorinness, sandfront hotel adalamatoon. no reservation costs. g",-,-,-,8.2,Very Confusing,16.880000000000006,12th and 13th grade,18,8,2,4
-,-,"japan. spa, los angeles airport, ri. no reservation costs. great rates.presa",-,-,-,65.89,Standard,9.683090909090913,9th and 10th grade,18,11,2,4
-,-,"travelion cebbourge, kyoto. no reservation costs. great rates.hotel carlton",-,-,-,49.99,Other Value,14.182444444444444,12th and 13th grade,16,9,2,5
-,-,"reservation !sdly boutique hotel nyc, jumbelledja. no reservation costs. great ra",-,-,-,48.97,Difficult,11.10509090909091,11th and 12th grade,20,11,2,4
-,-,reservation !ofl on the best rates on this perville bank airport25 hotels near he,-,-,-,82.65,Easy,9.138285714285717,5th and 6th grade,18,14,1,3
-,-,"greatf.viebook a villa in phoenix, riviera maya, krainsbrudgeou, graz. no r",-,-,-,68.77,Standard,11.811090909090913,11th and 12th grade,16,11,1,4
-,-,bookal trapiba.save on stay le-lincoln hotel. book the hotels new york sou,-,-,-,90.77,Very Easy,6.884,1th and 2th grade,15,12,2,3
-,-,"ratesnnd 10 rancho, hydil it. no reservation costs. great rates.ari varanso",-,-,-,74.35,Fairly Easy,10.106363636363636,1th and 2th grade,17,11,2,5
-,-,"prices,book your hobie fe gsune. no reservation costs. great rates.book at at",-,-,-,84.34,Easy,7.093333333333334,8th and 9th grade,17,12,3,4
-,-,refundebest price guarantee! book the niodhoboc'h airport hotels.save with e,-,-,-,59.67,Other Value,10.286666666666667,11th and 12th grade,17,10,3,4
-,-,"nina vace vhilbert brent at tarling, zermisster, st petta valley beach. no",-,-,-,67.76,Standard,10.602666666666666,9th and 10th grade,18,12,1,4
-,-,"villawew. no reservation costs. great rates.book a motel in korana, greeven",-,-,-,74.35,Fairly Easy,9.379090909090909,9th and 10th grade,16,11,2,4
-,-,"greatind stad & windsor, kunkslis bangkok airport25 hotels near seonanos mo",-,-,-,69.79,Other Value,13.128,5th and 6th grade,15,10,1,4
-,-,"hostel. bernstapp townedge junesial, paris. no reservation costs. great rates",-,-,-,74.86,Fairly Easy,11.234000000000002,19th and 20th grade,15,10,2,4
-,-,"hotel, gjoon.hotel berlin hotel, genever. best price guarantee.angking silk-",-,-,-,33.07,Difficult,14.113555555555555,21th and 22th grade,18,9,2,4
-,-,"reservation !find at a hotel when you book mushigonnavanna.more choices, low pric",-,-,-,73.85,Fairly Easy,8.476,12th and 13th grade,18,12,2,3
-,-,"reservation !fiscela centurien. new york hotel dealsvillin, san francisc. no rese",-,-,-,68.77,Standard,12.939090909090913,9th and 10th grade,17,11,1,4
-,-,"costs. great rates.book your sontar across, northectle daiford, da walton. n",-,-,-,77.23,Fairly Easy,11.85709090909091,4th and 5th grade,15,11,1,4
-,-,grandi!seapan fame hotels near veriemur templa.secure value with expedia's,-,-,-,24.61,Very Confusing,14.734444444444444,12th and 13th grade,19,9,2,5
-,-,dublines hotels. save on parkshotel canalpara house.laige beach resort!book,-,-,-,58.45,Fairly Difficult,13.992444444444445,12th and 13th grade,15,9,2,5
-,-,"expediat book ap island, bgn las vegas forpur.eco-friendly orlando hook, amst",-,-,-,40.51,Difficult,11.614363636363635,10th and 11th grade,21,11,2,5
-,-,"frees in book on expedia today & save!save on this la maya olas inn, del-m",-,-,-,89.75,Other Value,3.979428571428572,2th and 3th grade,18,14,2,1
-,-,greatx.lowes & beachfront resort with 5 restaurants and full-service spa. s,-,-,-,69.79,Other Value,13.128,5th and 6th grade,15,10,1,4
-,-,online. great hotel rave on hotels in narmouth. lowest price guarantee!book l,-,-,-,56.93,Fairly Difficult,9.787333333333333,10th and 11th grade,20,12,2,5
-,-,accommodations in bar 407 incnetta fietrier online. no reservation costs. great rate,-,-,-,31.55,Difficult,11.719333333333335,10th and 11th grade,24,12,2,5
-,-,secure tupsy!best rates or refund + $50 coupon. save on hotels in awan. plan,-,-,-,81.8,Easy,7.099538461538463,8th and 9th grade,18,13,2,4
-,-,bookalt insaxc city. no reservation costs. great rates.grand hotel janedul,-,-,-,76.59,Fairly Easy,8.628,10th and 11th grade,15,10,3,3
