id,seed_text(prime_text),generated_text,perplexity,readability_(0-10),relevance_(R/I),difficulty_score,difficulty_label,school_grade_level,#_syllables,#_words,#_sentences,#_difficult_words,,,
-,-,"enjoy an all-new tv experience with personalized profiles and custom tv lineups! watch live tv & sports. 7 day free trial. 50+ top channels. no hidden fees. hassle-free tv. no hidden fees. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,82.41,Easy,6th and 7th grade,59,41,7,9,,,
-,-,"start your 30 day trial and watch great exclusives and originals only on hulu! live tv. showtime. hbo. 50+ live tv channels. all your tv in one place. hit movies. unlimited streaming. prices starting at $7.99. shows: grey's anatomy, rick and morty, this is us, empire.",-,-,-,87.52,Easy,7th and 8th grade,62,46,5,11,,,
-,-,"catch up with the latest episodes. sign up today for your hulu free trial! showtime. hit movies. unlimited streaming. hbo. prices starting at $7.99. 50+ live tv channels. live tv. all your tv in one place. shows: grey's anatomy, rick and morty, this is us, empire. current hbo episodes, past seasons and hit movies. add hbo on hulu now. showtime. hit movies. prices starting at $7.99. hbo. live tv. all your tv in one place. unlimited streaming. 50+ live tv channels. shows: grey's anatomy, rick and morty, this is us.",-,-,-,89.24,Easy,5th and 6th grade,114,90,12,12,,,
-,-,stream seasons 1 - 6 of nashville on hulu. sign up for 30 days free today! unlimited streaming. live tv. hbo. 50+ live tv channels. showtime. all your tv in one place. hit movies. prices starting at $7.99. showtime.,-,-,-,89.14,Easy,7th and 8th grade,51,38,5,9,,,
-,-,"stream the entire season from the beginning. try free for 30 days! hit movies. showtime. hbo. 50+ live tv channels. prices starting at $7.99. live tv. all your tv in one place. hbo. shows: grey's anatomy, rick and morty, this is us.",-,-,-,98.21,Very Easy,5th and 6th grade,50,42,6,6,,,
-,-,"catch up with the latest episodes. sign up today for your hulu free trial! prices starting at $7.99. hbo. showtime. all your tv in one place. unlimited streaming. live tv. 50+ live tv channels. hit movies. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,88.74,Easy,7th and 8th grade,61,48,6,10,,,
-,-,"enjoy all your favorite fox sports coverage live on hulu. start free trial now! all-new tv experience. no hidden fees. hassle-free tv. 50+ top channels. nhl. no hidden fees. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",-,-,-,82.2,Easy,7th and 8th grade,60,43,7,9,,,
-,-,"experience 50+ live & on demand channels + hulus huge streaming library. watch live tv & sports. 50+ top channels. no hidden fees. all-new tv experience. no hidden fees. 7 day free trial. enhanced cloud dvr. hassle-free tv. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,74.86,Fairly Easy,7th and 8th grade,67,45,9,12,,,
-,-,"enjoy all your favorite fs1 sports coverage live on hulu. start free trial! no hidden fees. 50+ top channels. hassle-free tv. all-new tv experience. no hidden fees. live sports. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",-,-,-,82.2,Easy,6th and 7th grade,60,43,7,9,,,
-,-,enjoy all your favorite fox sports coverage live on hulu. start free trial now! all-new tv experience. 50+ top channels. hassle-free tv. enhanced cloud dvr. no hidden fees.,-,-,-,75.16,Fairly Easy,7th and 8th grade,43,28,6,8,,,
-,-,"weleve your favorite tv moments that dada you laugh and cry. only on hulu! unlimited streaming. hbo. showtime. hit movies. prices starting at $7.99. 50+ live tv channels. all your tv in one place. hbo. live tv. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace, black-ish, power, insecure, game of thrones.",-,-,-,87.01,Easy,3th and 4th grade,76,58,6,13,,,
-,-,"enjoy an all-new tv experience with personalized profiles and custom tv lineups! no hidden fees. 7 day free trial. watch live tv & sports. 50+ top channels. no hidden fees. hassle-free tv. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,82.41,Easy,6th and 7th grade,59,41,7,9,,,
-,-,"stream the top sports networks and live games on all your supported devices! enhanced cloud dvr. watch live tv & sports. all-new tv experience. no hidden fees. 50+ top channels. no hidden fees. 7 day free trial. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,91.68,Very Easy,5th and 6th grade,60,46,9,8,,,
-,-,enjoy all your favorite fox sports coverage live on hulu. start free trial now!,-,-,-,81.29,Easy,3th and 4th grade,20,14,2,3,,,
-,-,"watch now on hulu. start streaming this seasons and hit movies. add hbo on hulu now. hbo. prices starting at $7.99. showtime. hit movies. unlimited streaming. live tv. all your tv in one place. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,89.04,Easy,2th and 3th grade,58,46,6,10,,,
-,-,"stream seasons 1 - 6 of nashville on hull. sign up for 30 days free today! hit movies. unlimited streaming. live tv. showtime. all your tv in one place. hbo. 50+ live tv channels. prices starting at $7.99. showtime. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace.",-,-,-,87.92,Easy,5th and 6th grade,67,53,6,10,,,
-,-,enjoy all of your favorite shows & movies on hulu. start your free trial today! hit movies.,-,-,-,80.28,Easy,4th and 5th grade,22,16,2,3,,,
-,-,catch all your favorite tennis action in one place. start your free trial! live sports. nhl. golf. nhl. hassle-free tv. no hidden fees. all-new tv experience. no hidden fees. 50+ top channels. no hidden fees. live sports.,-,-,-,83.02,Easy,5th and 6th grade,51,37,7,6,,,
-,-,"catch up with the latest episodes. sign up today for your hulu free trial! hit movies. showtime. prices starting at $7.99. hbo. 50+ live tv channels. unlimited streaming. all your tv in one place. live tv. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,88.74,Easy,7th and 8th grade,61,48,6,10,,,
-,-,enjoy all your favorite fs1 sports coverage live on hulu. start free trial now! watch live news. no hidden fees. all-new tv experience. no hidden fees. 50+ top channels. no hidden fees.,-,-,-,84.34,Easy,5th and 6th grade,46,32,8,6,,,
-,-,watch up with the latest episodes or binge from the beginning - only on hulu! showtime. all your tv in one place. hit movies. prices starting at $7.99. 50+ live tv channels. live tv. hbo.,-,-,-,88.23,Easy,5th and 6th grade,43,34,4,5,,,
-,-,"all your streaming in one place. sign up for your free trial on hulu! all your tv in one place. hit movies. prices starting at $7.99. live tv. 50+ live tv channels. showtime. unlimited streaming. hbo. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,88.74,Easy,5th and 6th grade,60,48,6,10,,,
-,-,"stream seasons 1 - 6 of nashville on hulu. sign up for 30 days free today! unlimited streaming. hbo. live tv. 50+ live tv channels. all your tv in one place. hit movies. showtime. current episodes next day. shows: grey's anatomy, rick and morty, this is us.",-,-,-,89.04,Easy,6th and 7th grade,59,46,6,10,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! live tv. hit movies. 50+ live tv channels. unlimited streaming. prices starting at $7.99. hbo. showtime. all your tv in one place. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,87.11,Easy,3th and 4th grade,63,48,5,9,,,
-,-,"enjoy your favorite fx shows live on hulu. start your free trial now! enhanced cloud dvr. 50+ top channels. hassle-free tv. no hidden fees. all-new tv experience. 7 day free trial. watch live tv & sports. brands: fox, cbs, nbc, fx, tnt, tbs, hgtv, freeform.",-,-,-,91.88,Very Easy,1th and 2th grade,59,44,9,8,,,
-,-,"weleve all available sports, news and entertainment channels in your area. all-new tv experience. no hidden fees. enhanced cloud dvr. 50+ top channels. watch live tv & sports. 7 day free trial.",-,-,-,75.47,Fairly Easy,7th and 8th grade,45,31,7,8,,,
-,-,"binge this show & other hulu exclusives. sign up for a 30 day free trial today! unlimited streaming. showtime. live tv. hit movies. prices starting at $7.99. hbo. 50+ live tv channels. all your tv in one place. shows: grey's anatomy, rick and morty, this is us, empire.",-,-,-,88.94,Easy,7th and 8th grade,63,47,6,11,,,
-,-,"experience 50+ live & on demand channels + hulus huge streaming library. watch live tv & sports. 50+ top channels. no hidden fees. all-new tv experience. 7 day free trial. enhanced cloud dvr. hassle-free tv. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,74.56,Fairly Easy,6th and 7th grade,63,42,8,12,,,
-,-,"enjoy all your favorite fs1 sports coverage live on hulu. start free trial now! all-new tv experience. no hidden fees. 50+ top channels. hassle-free tv. enhanced cloud dvr. watch live tv & sports. no hidden fees. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,83.32,Easy,6th and 7th grade,62,45,9,8,,,
-,-,enjoy an all-new tv experience with personalized profiles and custom tv lineups! watch live tv & sports. 7 day free trial. 50+ top channels. no hidden fees.,-,-,-,66.2,Standard,8th and 9th grade,41,26,5,8,,,
-,-,"watch the mindy project from beginning. try free for 30 days! showtime. hbo. prices starting at $7.99. live tv. hit movies. all your tv in one place. unlimited streaming. showtime. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace, black-ish, power, insecure, game of thrones.",-,-,-,86.5,Easy,7th and 8th grade,66,51,5,10,,,
-,-,"enjoy all your favorite fox sports coverage live on hulu. start free trial now! watch live news. all-new tv experience. no hidden fees. hassle-free tv. 50+ top channels. no hidden fees. watch live tv & sports. no hidden fees. 7 day free trial. enhanced cloud dvr. brands: fox, cbs, nbc, fx, tnt, tbs, hgtv.",-,-,-,83.93,Easy,5th and 6th grade,72,53,12,9,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! showtime. all your tv in one place. hit movies. prices starting at $7.99. unlimited streaming. 50+ live tv channels. live tv. hbo. shows: grey's anatomy, rick and morty, this is us, empire.",-,-,-,87.52,Easy,6th and 7th grade,61,46,5,9,,,
-,-,"enjoy an all-new tv experience with personalized profiles and custom tv lineups! watch live tv & sports. 50+ top channels. hassle-free tv. 7 day free trial. no hidden fees. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,82,Easy,7th and 8th grade,55,38,6,9,,,
-,-,"stream seasons 1 - 6 of nashville on hulu. sign up for 30 days free today! unlimited streaming. live tv. showtime. all your tv in one place. hbo. 50+ live tv channels. hbo. prices starting at $7.99. hit movies. shows: grey's anatomy, rick and morty, this is us, empire.",-,-,-,88.74,Easy,7th and 8th grade,62,48,6,11,,,
-,-,catch up with the latest episodes or binge from the beginning - only on hulu!,-,-,-,74.19,Fairly Easy,6th and 7th grade,20,14,1,2,,,
-,-,"start your 30 day trial and watch great exclusives and originals only on hulu! live tv. showtime. hbo. all your tv in one place. 50+ live tv channels. unlimited streaming. prices starting at $7.99. hit movies. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,87.11,Easy,7th and 8th grade,64,48,5,11,,,
-,-,"stream the top sports networks and live games on all your supported devices! enhanced cloud dvr. watch live tv & sports. 50+ top channels. no hidden fees. 7 day free trial. all-new tv experience. no hidden fees. watch live tv & sports. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,91.78,Very Easy,5th and 6th grade,65,50,10,8,,,
-,-,"enjoy an all-new tv experience with personalized profiles and custom tv lineups! no hidden fees. 50+ top channels. watch live tv & sports. 7 day free trial. no hidden fees. hassle-free tv. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,82.41,Easy,6th and 7th grade,59,41,7,9,,,
-,-,enjoy all your favorite fox sports coverage live on hulu. start free trial  ow! all-new tv experience. no hidden fees. 50+ top channels. hassle-free tv.,-,-,-,66.4,Standard,7th and 8th grade,40,25,5,7,,,
-,-,"experience 50+ live & on demand channels + hulus huge streaming library. watch live tv & sports. 50+ top channels. all-new tv experience. no hidden fees. 7 day free trial. enhanced cloud dvr. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,74.86,Fairly Easy,7th and 8th grade,59,40,8,11,,,
-,-,"enjoy all your favorite espnu sports coverage live on hulu. start free trial now! all-new tv experience. no hidden fees. 50+ top channels. hassle-free tv. enhanced cloud dvr. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",-,-,-,73.85,Fairly Easy,8th and 9th grade,61,42,7,11,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! live tv. hit movies. 50+ live tv channels. unlimited streaming. prices starting at $7.99. hbo. showtime. all your tv in one place. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace, black-ish, power, insecure, game of thrones.",-,-,-,85.28,Easy,7th and 8th grade,76,57,5,12,,,
-,-,"all your tv together in one place. choose the plan for you and try 30 days free! hbo. showtime. unlimited streaming. 30 day free trial. all your tv in one place. hbo. 50+ live tv channels. live tv. current episodes next day. showtime. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,97.3,Very Easy,6th and 7th grade,68,55,7,8,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! live tv. showtime. all your tv in one place. hit movies. 50+ live tv channels. prices starting at $7.99. unlimited streaming. hbo. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,87.11,Easy,3th and 4th grade,63,48,5,9,,,
-,-,enjoy all your favorite fo1 sports coverage live on hulu. start free trial now! watch live news. all-new tv experience. 50+ top channels.,-,-,-,75.27,Fairly Easy,6th and 7th grade,34,23,5,6,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! live tv. hbo. showtime. unlimited streaming. hit movies. prices starting at $7.99. 50+ live tv channels. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace.",-,-,-,85.39,Easy,7th and 8th grade,60,45,4,9,,,
-,-,"all your tv together in one place. stream live tv, hit shows & hulu originals! prices starting at $5.99. showtime. all your tv in one place. hit movies. 50+ live tv channels. unlimited streaming. live tv. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,88.94,Easy,2th and 3th grade,62,47,6,9,,,
-,-,"enjoy an all-new tv experience with personalized profiles and custom tv lineups! watch live tv & sports. 7 day free trial. 50+ top channels. no hidden fees. watch live tv & sports. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,82.61,Easy,6th and 7th grade,56,40,7,8,,,
-,-,"enjoy your favorite tnt shows live on hulu. start your free trial now! enhanced cloud dvr. watch live tv & sports. 50+ top channels. no hidden fees. hassle-free tv. brands: fox, cbs, nbc, fx, tnt. tbs, hgtv, freeform, lice ime, teeemuntor blaice in upers.",-,-,-,91.37,Very Easy,4th and 5th grade,55,43,8,7,,,
-,-,"enjoy your favorite fox sports coverage live on hulu. start free trial now! watch live news. all-new tv experience. no hidden fees. hassle-free tv. 50+ top channels. watch live tv & sports. enhanced cloud dvr. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",-,-,-,83.02,Easy,7th and 8th grade,66,48,9,10,,,
-,-,enjoy an all-new tv experience with personalized profiles and custom tv lineups! no hidden fees. 50+ top channels. hassle-free tv. watch live tv & sports. no hidden fees. 7 day free trial.,-,-,-,66.2,Standard,7th and 8th grade,49,31,6,9,,,
-,-,"watch up with the latest episodes. sign up today for your hulu free trial! prices starting at $7.99. hit movies. unlimited streaming. all your tv in one place. showtime. hbo. 50+ live tv channels. live tv. shows: grey's anatomy, rick and morty, this is us, empire.",-,-,-,89.04,Easy,2th and 3th grade,59,46,6,10,,,
-,-,"cut your cable & enjoy a better live tv experience with hulu. 50+ top channels. hassle-free tv. enhanced cloud dvr. all-new tv experience. no hidden fees. watch live tv & sports. 7 day free trial. brands: hbo, fs1, cbs, fx, cnn international.",-,-,-,66.4,Standard,7th and 8th grade,63,40,8,10,,,
-,-,"enjoy all your favorite fox sports coverage live on hulu. start free trial now! watch live news. all-new tv experience. no hidden fees. hassle-free tv. 50+ top channels. no hidden fees. 7 day free trial. enhanced cloud dvr. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,83.52,Easy,5th and 6th grade,65,48,10,9,,,
-,-,"enjoy all your favorite fox shows live on hulu. start your free trial now! watch live tv & sports. 50+ top channels. no hidden fees. hassle-free tv. enhanced cloud dvr. all-new tv experience. 7 day free trial. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,91.68,Very Easy,5th and 6th grade,61,46,9,8,,,
-,-,"start your 30 day trial and watch great exclusives and originals only on hulu! showtime. all your tv in one place. live tv. 50+ live tv channels. hit movies. prices starting at $7.99. hbo. unlimited streaming. shows: grey's anatomy, rick and morty, this is us, empire.",-,-,-,87.52,Easy,7th and 8th grade,62,46,5,11,,,
-,-,"enjoy all your favorite fox sports coverage live on hulu. start free trial now! all-new tv experience. no hidden fees. 50+ top channels. hassle-free tv. no hidden fees. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",-,-,-,82.31,Easy,7th and 8th grade,59,42,7,9,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! live tv. hbo. showtime. unlimited streaming. 50+ live tv channels. all your tv in one place. hit movies. prices starting at $7.99. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace, black-ish, power, insecure, game of thrones.",-,-,-,85.28,Easy,7th and 8th grade,76,57,5,12,,,
-,-,"a tv experience like no other. discover hulu's collection of movies & shows! all your tv in one place. 50+ live tv channels. unlimited streaming. showtime. 30 day free trial. hit movies. live tv. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,80.78,Easy,7th and 8th grade,64,45,6,11,,,
-,-,"enjoy all your favorite fox sports coverage live on hulu. start free trial! no hidden fees. 50+ top channels. all-new tv experience. no hidden fees. hassle-free tv. no hidden fees. live sports. no hidden fees. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",-,-,-,82.91,Easy,6th and 7th grade,68,49,9,9,,,
-,-,"catch up with the latest episodes. sign up today for your hulu free trial! showtime. hbo. prices starting at $7.99. unlimited streaming. hbo. all your tv in one place. 50+ live tv channels. live tv. showtime. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,88.74,Easy,5th and 6th grade,62,48,6,10,,,
-,-,"stream seasons 1 - 6 of nashville on hulu. sign up for 30 days free today! hit movies. live tv. unlimited streaming. all your tv in one place. showtime. hbo. prices starting at $7.99. 50+ live tv channels. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,88.53,Easy,7th and 8th grade,63,49,6,11,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! live tv. showtime. hbo. 50+ live tv channels. unlimited streaming. hit movies. all your tv in one place. prices starting at $7.99. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace.",-,-,-,86.5,Easy,6th and 7th grade,66,51,5,9,,,
-,-,all the biggest games & your hometown teams in one place. start your free trial! golf. nhl. nhl. hassle-free tv.,-,-,-,87.21,Easy,3th and 4th grade,25,19,2,4,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! showtime. hit movies. prices starting at $7.99. live tv. all your tv in one place. unlimited streaming. 50+ live tv channels. hbo. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,87.11,Easy,3th and 4th grade,63,48,5,9,,,
-,-,"enjoy all your favorite fox sports coverage live on hulu. start free trial now! a4l-new tv experience. 50+ top channels. hassle-free tv. no hidden fees. watch live news. no hidden fees. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",-,-,-,82.71,Easy,6th and 7th grade,62,45,8,9,,,
-,-,catch up with the latest episodes or binge from the beginning - only on hulu! showtime.,-,-,-,64.71,Standard,7th and 8th grade,22,15,1,3,,,
-,-,"enjoy your favorite fx shows live on hulu. start your free trial today! hassle-free tv. watch live tv & sports. 50+ top channels. no hidden fees. 7 day free trial. enhanced cloud dvr. all-new tv experience. brands: fox, cbs, nbc, fx, tnt, tbs.",-,-,-,83.62,Easy,5th and 6th grade,58,42,9,9,,,
-,-,"current hbo episodes, past seasons and hit movies. add hbo on hulu now. showtime. all your tv in one place. live tv. hit movies. prices starting at $7.99. unlimited streaming. hbo. 50+ live tv channels. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,88.94,Easy,5th and 6th grade,59,47,6,10,,,
-,-,"start your 30 day trial and watch great exclusives and originals only on hulu! live tv. hit movies. all your tv in one place. showtime. prices starting at $7.99. unlimited streaming. 50+ live tv channels. hbo. shows: grey's anatomy, rick and morty, this is us.",-,-,-,87.72,Easy,7th and 8th grade,60,45,5,10,,,
-,-,"current hbo episodes, past seasons and hit movies. add hbo on hulu now. hbo. prices starting at $7.99. showtime. live tv. unlimited streaming. hit movies. all your tv in one place. 50+ live tv channels. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace, black-ish, power, insecure, game of thrones.",-,-,-,87.42,Easy,6th and 7th grade,72,56,6,13,,,
-,-,"all your tv together in one place. stream live tv, hit shows & hulu originals! prices starting at $7.99. showtime. all your tv in one place. 50+ live tv channels. hit movies. live tv. hbo. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,97.5,Very Easy,6th and 7th grade,57,46,6,7,,,
-,-,"stream this hulu exclusive period drama from executive younger upasods. sign up for hulu today! hit movies. prices starting at $7.99. 50+ live tv channels. unlimited streaming. live tv. all your tv in one place. hbo. showtime. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,80.07,Easy,8th and 9th grade,71,49,6,14,,,
