id,seed_text(prime_text),generated_text,perplexity,readability_(0-10),relevance_(R/I),difficulty_score,difficulty_label,school_grade_level,#_syllables,#_words,#_sentences,#_difficult_words,,,
-,-,"book at hotel le cannor, i-city",-,-,-,56.93,Fairly Difficult,1th and 2th grade,10,6,1,2,,,
-,-,"book at hotel saint mall, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,6th and 7th grade,16,11,2,2,,,
-,-,"book at the grand hotel & suites, i-city. no reservation costs. great rates.",-,-,-,73.85,Fairly Easy,6th and 7th grade,18,12,2,2,,,
-,-,book a hotel near six flags. save up to 50% on your reservation.,-,-,-,98.72,Very Easy,1th and 2th grade,16,13,2,1,,,
-,-,"book at the santorina hotel, port san aran. no reservation costs. great rates.",-,-,-,73.34,Fairly Easy,13th and 14th grade,19,13,2,3,,,
-,-,book a hotel in central bridge. no reservation costs. great rates.,-,-,-,82.81,Easy,6th and 7th grade,15,11,2,2,,,
-,-,"book at hotel saint gram spa, i-city. no reservation costs. great rates.",-,-,-,82.31,Easy,5th and 6th grade,17,12,2,2,,,
-,-,book a hotel in central santa monia. no reservation costs. great rates.,-,-,-,73.85,Fairly Easy,4th and 5th grade,18,12,2,4,,,
-,-,"book at hotel saint-louiner, i-city. no reservation costs. great rates.",-,-,-,57.94,Fairly Difficult,15th and 16th grade,17,10,2,3,,,
-,-,book a hotel in central st. park. no reservation costs. great rates.,-,-,-,90.77,Very Easy,6th and 7th grade,16,12,2,2,,,
-,-,"book at hotel santa cara, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,8th and 9th grade,17,11,2,3,,,
-,-,best rates or refund + $50 coupon. book your santa monia hotel today!,-,-,-,73.85,Fairly Easy,6th and 7th grade,18,12,2,4,,,
-,-,"book a motel in i-city, ca. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,3th and 4th grade,16,11,2,3,,,
-,-,"book at the santa resort, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,9th and 10th grade,17,11,2,4,,,
-,-,"book at the south beach, i-city. best price guarantee.",-,-,-,83.83,Easy,12th and 13th grade,13,9,2,2,,,
-,-,"book at the grand hotel & spa, i-city. no reservation costs. great rates.",-,-,-,73.85,Fairly Easy,6th and 7th grade,18,12,2,2,,,
-,-,"book at hotel la pari, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,6th and 7th grade,16,11,2,2,,,
-,-,"book at the grand hotel, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,8th and 9th grade,16,11,2,3,,,
-,-,book your hotel in corning online. no reservation costs. great rates.,-,-,-,74.35,Fairly Easy,6th and 7th grade,16,11,2,3,,,
-,-,best rates or refund + $50 coupon. save on hotels in st. augusters arena.,-,-,-,81.8,Easy,3th and 4th grade,18,13,2,4,,,
-,-,"book at the groving inn, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,8th and 9th grade,16,11,2,3,,,
-,-,book a hotel in central bricks. no reservation costs. great rates.,-,-,-,82.81,Easy,6th and 7th grade,15,11,2,2,,,
-,-,book your hotel in collersion online. no reservation costs. great rates.,-,-,-,74.35,Fairly Easy,7th and 8th grade,16,11,2,3,,,
-,-,book your hotel in corthell online. no reservation costs. great rates.,-,-,-,82.81,Easy,6th and 7th grade,15,11,2,2,,,
-,-,"book a hostel in i-city, i-coun. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,8th and 9th grade,16,11,2,3,,,
-,-,"book a hotel near six flags street, i-city. save up to 50% on your reservation.",-,-,-,89.24,Easy,2th and 3th grade,20,15,2,2,,,
-,-,book at hotel le corning i-city. no reservation costs. great rates.,-,-,-,74.35,Fairly Easy,8th and 9th grade,17,11,2,3,,,
-,-,"book at hotel saint leeis mala, i-city. no reservation costs. great rates.",-,-,-,82.31,Easy,6th and 7th grade,17,12,2,2,,,
-,-,best rates or refund + $50 coupon. book your southers hotel today!,-,-,-,82.81,Easy,7th and 8th grade,15,11,2,2,,,
-,-,best rates or refund + $50 coupon. book your cannon airport hotel today!,-,-,-,73.85,Fairly Easy,6th and 7th grade,18,12,2,2,,,
-,-,"book at hotel le colora, i-city. no reservation costs. great rates.",-,-,-,65.89,Standard,8th and 9th grade,18,11,2,3,,,
-,-,best rates or refund + $50 coupon. save on hotels in san foads arena.,-,-,-,90.26,Very Easy,2th and 3th grade,17,13,2,3,,,
-,-,book a hotel in central barcelona. no reservation costs. great rates.,-,-,-,82.81,Easy,6th and 7th grade,15,11,2,2,,,
-,-,"book at the salace hotel, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,8th and 9th grade,16,11,2,3,,,
-,-,"book at hotel la canco, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,8th and 9th grade,17,11,2,3,,,
-,-,"book at hotel santa, i-city. no reservation costs. great rates.",-,-,-,66.4,Standard,8th and 9th grade,16,10,2,3,,,
-,-,book your hotel in carlong new online. no reservation costs. great rates.,-,-,-,82.31,Easy,5th and 6th grade,17,12,2,3,,,
-,-,"book a motel in i-city, ca. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,3th and 4th grade,16,11,2,3,,,
-,-,best rates or refund + $50 coupon. book your santa maria hotel today!,-,-,-,82.31,Easy,3th and 4th grade,17,12,2,3,,,
-,-,book a hotel near penness city center. save up to 50% on your reservation.,-,-,-,81.29,Easy,2th and 3th grade,19,14,2,3,,,
-,-,"book at the south beach hotel, i-city. no reservation costs. great rates.",-,-,-,82.31,Easy,5th and 6th grade,17,12,2,3,,,
-,-,book your hotel in carlond orlend online. no reservation costs. great rates.,-,-,-,73.85,Fairly Easy,17th and 18th grade,18,12,2,4,,,
-,-,"book at hotel san frankis, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,6th and 7th grade,16,11,2,2,,,
-,-,"save with expedia's price guarantee. save on hotels in i-city, i-coun.",-,-,-,65.89,Standard,9th and 10th grade,18,11,2,4,,,
-,-,book your hotel in i-city online. no reservation costs. great rates.,-,-,-,74.35,Fairly Easy,8th and 9th grade,17,11,2,3,,,
-,-,"book a motel in i-city, ca. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,3th and 4th grade,16,11,2,3,,,
-,-,best rates or refund + $50 coupon. book your salama hotel today!,-,-,-,74.35,Fairly Easy,6th and 7th grade,16,11,2,3,,,
-,-,book your hotel in i-city online. no reservation costs. great rates.,-,-,-,74.35,Fairly Easy,8th and 9th grade,17,11,2,3,,,
-,-,"save with expedia's price guarantee. book at hotel san jose springs, i-city. no reservation costs. great rates.",-,-,-,74.15,Fairly Easy,7th and 8th grade,26,17,3,4,,,
-,-,"save on hotels in salta mara, i-coun.",-,-,-,106.67,Other Value,2th and 3th grade,8,7,1,1,,,
-,-,"book at the grand hotel i-city, i-city. no reservation costs. great rates.",-,-,-,65.39,Standard,7th and 8th grade,19,12,2,3,,,
-,-,"book a motel in i-city, ca. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,3th and 4th grade,16,11,2,3,,,
-,-,book a hotel near san diego state university. save up to 50% on your reservation.,-,-,-,80.78,Easy,5th and 6th grade,21,15,2,2,,,
-,-,best rates or refund + $50 coupon. book your cornange hotel today!,-,-,-,74.35,Fairly Easy,7th and 8th grade,16,11,2,3,,,
-,-,book your hotel in i-city online. no reservation costs. great rates.,-,-,-,74.35,Fairly Easy,8th and 9th grade,17,11,2,3,,,
-,-,"book at hotel la corner, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,8th and 9th grade,17,11,2,3,,,
-,-,book your hotel in cancon ny online. no reservation costs. great rates.,-,-,-,82.31,Easy,7th and 8th grade,17,12,2,3,,,
-,-,"book at tre sala and spa, i-city. no reservation costs. great rates.",-,-,-,90.77,Very Easy,6th and 7th grade,16,12,2,2,,,
-,-,"book a motel in i-city, ca. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,3th and 4th grade,16,11,2,3,,,
-,-,"book at tree saint hotel, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,8th and 9th grade,16,11,2,3,,,
-,-,book your hotel in i-city online. no reservation costs. great rates.,-,-,-,74.35,Fairly Easy,8th and 9th grade,17,11,2,3,,,
-,-,best rates or refund + $50 coupon. book your santa caralina hotel today!,-,-,-,65.39,Standard,8th and 9th grade,19,12,2,4,,,
-,-,"book at hotel santa, maria. no reservation costs. great rates.",-,-,-,83.32,Easy,5th and 6th grade,14,10,2,2,,,
-,-,"save on hotels in i-city, i-coun.",-,-,-,73.85,Fairly Easy,17th and 18th grade,9,6,1,2,,,
-,-,"book at hotel la plaza, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,6th and 7th grade,16,11,2,2,,,
-,-,"book at the grove hotel, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,8th and 9th grade,16,11,2,3,,,
-,-,"book at hotel santo mala, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,8th and 9th grade,17,11,2,3,,,
-,-,"book a motel in i-city, ca. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,3th and 4th grade,16,11,2,3,,,
-,-,book a hotel near six flogs on expedia. save up to 50% on your reservation.,-,-,-,89.24,Easy,2th and 3th grade,20,15,2,2,,,
-,-,"book at hotel le southern i-city, i-city. no reservation costs. great rates.",-,-,-,56.93,Fairly Difficult,7th and 8th grade,20,12,2,3,,,
-,-,"book at the grand hotel, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,8th and 9th grade,16,11,2,3,,,
-,-,best rates or refund + $50 coupon. book your santa convention centre hotel today!,-,-,-,64.88,Standard,10th and 11th grade,21,13,2,5,,,
-,-,"book a hotel near park station, i-city. get instant confirmation.",-,-,-,49.48,Difficult,10th and 11th grade,18,10,2,3,,,
-,-,book your hotel in i-city online,-,-,-,56.93,Fairly Difficult,17th and 18th grade,10,6,1,2,,,
-,-,book your hotel in i-coun online. no reservation costs. great rates.,-,-,-,82.81,Easy,6th and 7th grade,15,11,2,2,,,
-,-,"book at hotel santa cara, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,8th and 9th grade,17,11,2,3,,,
-,-,"book a hostel in i-city, i-coun. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,8th and 9th grade,16,11,2,3,,,
-,-,best rates or refund + $50 coupon. book your cordich hotel today!,-,-,-,82.81,Easy,6th and 7th grade,15,11,2,2,,,
-,-,book a hotel near six flags airport. save up to 50% on your reservation.,-,-,-,89.75,Easy,2th and 3th grade,18,14,2,2,,,
-,-,"book a motel in i-city, mn. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,3th and 4th grade,16,11,2,3,,,
-,-,"book at hotel saint germain, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,7th and 8th grade,17,11,2,3,,,
-,-,book your hotel in cortona ca online. no reservation costs. great rates.,-,-,-,82.31,Easy,5th and 6th grade,17,12,2,3,,,
-,-,"book a motel in i-city, ca. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,3th and 4th grade,16,11,2,3,,,
-,-,"book a hotel near park station, i-city. save up to 50% on your reservation.",-,-,-,81.29,Easy,5th and 6th grade,20,14,2,3,,,
-,-,save on your silmen airport hotel with expedia.,-,-,-,63.36,Standard,7th and 8th grade,13,8,1,2,,,
-,-,"book at the santa cana resort & spa, i-city. no reservation costs. great rates.",-,-,-,73.34,Fairly Easy,8th and 9th grade,20,13,2,4,,,
-,-,book your hotel in i-city online. no reservation costs. great rates.,-,-,-,74.35,Fairly Easy,8th and 9th grade,17,11,2,3,,,
-,-,"book a motel in i-city, ma. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,3th and 4th grade,16,11,2,3,,,
-,-,"book at the salace hotel, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,8th and 9th grade,16,11,2,3,,,
-,-,"book at the south palms hotel, i-city. no reservation costs. great rates.",-,-,-,82.31,Easy,5th and 6th grade,17,12,2,3,,,
-,-,"book at the grand hotel, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,8th and 9th grade,16,11,2,3,,,
-,-,"book a hotel near pennestal station, i-city. save up to 50% on your reservation.",-,-,-,81.29,Easy,7th and 8th grade,20,14,2,3,,,
-,-,"book at hotel le saint germain, i-city. no reservation costs. great rates.",-,-,-,73.85,Fairly Easy,9th and 10th grade,18,12,2,3,,,
-,-,"book at the solaman hotel, i-city. no reservation costs. great rates.",-,-,-,65.89,Standard,9th and 10th grade,18,11,2,4,,,
-,-,"book a hotel near panama center, st. save.up to 50% on your reservation.",-,-,-,73.34,Fairly Easy,6th and 7th grade,19,13,2,4,,,
-,-,"book at hotel santa maria, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,6th and 7th grade,17,11,2,3,,,
-,-,"book at hotel la carmon lodge, i-city. no reservation costs. great rates.",-,-,-,73.85,Fairly Easy,7th and 8th grade,18,12,2,3,,,
-,-,"book at hotel santa mara, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,8th and 9th grade,17,11,2,3,,,
-,-,book your hotel in carlington online. no reservation costs. great rates.,-,-,-,74.35,Fairly Easy,7th and 8th grade,17,11,2,3,,,
-,-,best rates or refund + $50 coupon. book your santa corda hotel today!,-,-,-,73.85,Fairly Easy,6th and 7th grade,18,12,2,4,,,
-,-,"book at the south beach hotel, i-city. no reservation costs. great rates.",-,-,-,82.31,Easy,5th and 6th grade,17,12,2,3,,,
-,-,best rates or refund + $50 coupon. book your santa cana hotel today!,-,-,-,82.31,Easy,3th and 4th grade,17,12,2,3,,,
-,-,"book at the grand i-city, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,8th and 9th grade,17,11,2,3,,,
-,-,"book at the grond hotel, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,8th and 9th grade,16,11,2,3,,,
-,-,"book at hotel la corta, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,8th and 9th grade,17,11,2,3,,,
-,-,"book at the santorna, i-city",-,-,-,49.48,Difficult,10th and 11th grade,9,5,1,2,,,
-,-,"book at hotel la carmin, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,6th and 7th grade,16,11,2,2,,,
-,-,"book at the grand hotel, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,8th and 9th grade,16,11,2,3,,,
-,-,"book a hotel near six flags street, i-city. get instant confirmation.",-,-,-,65.89,Standard,6th and 7th grade,18,11,2,2,,,
-,-,best rates or refund + $50 coupon. book your sal car hotel today!,-,-,-,90.77,Very Easy,4th and 5th grade,16,12,2,2,,,
-,-,"book at hotel le carmen, i-city. no reservation costs. great rates",-,-,-,74.35,Fairly Easy,8th and 9th grade,17,11,2,3,,,
-,-,book your hotel in corning online. no reservation costs. great rates.,-,-,-,74.35,Fairly Easy,6th and 7th grade,16,11,2,3,,,
-,-,"book at hotel santa carino, i-city. no reservation costs. great rates.",-,-,-,65.89,Standard,9th and 10th grade,18,11,2,4,,,
-,-,best rates or refund + $50 coupon. book your santa convention hotel today!,-,-,-,65.39,Standard,5th and 6th grade,19,12,2,4,,,
-,-,"book at the grond hotel, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,8th and 9th grade,16,11,2,3,,,
-,-,best rates or refund + $50 coupon. book your san franceshotel today!,-,-,-,91.27,Very Easy,1th and 2th grade,14,11,2,2,,,
-,-,best rates or refund +$50 coupon. book your santa canara hotel today!,-,-,-,82.31,Easy,17th and 18th grade,17,12,2,4,,,
-,-,"save with expedia's price guarantee. book at the solora, i-city",-,-,-,57.94,Fairly Difficult,9th and 10th grade,17,10,2,4,,,
-,-,"book a hostel in i-city, i-coun. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,8th and 9th grade,16,11,2,3,,,
-,-,"book at hotel solana, i-city. no reservation costs. great rates.",-,-,-,74.86,Fairly Easy,6th and 7th grade,15,10,2,2,,,
-,-,secure value with expedias price guarantee. hotels near sen arena airport.,-,-,-,48.97,Difficult,12th and 13th grade,20,11,2,6,,,
-,-,"book at the sourhotel, i-city. no reservation costs. great rates.",-,-,-,74.86,Fairly Easy,10th and 11th grade,15,10,2,3,,,
-,-,"book at hotel le saint-millern, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,8th and 9th grade,17,11,2,3,,,
-,-,best rates or refund + $50 coupon. book your south beach hotel today!,-,-,-,90.77,Very Easy,6th and 7th grade,16,12,2,2,,,
-,-,"book at hotel seasing, i-city. no reservation costs. great rates.",-,-,-,74.86,Fairly Easy,6th and 7th grade,15,10,2,2,,,
-,-,"book a hostel in i-city, i-coun. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,8th and 9th grade,16,11,2,3,,,
-,-,"book at trees hotel, i-city. no reservation costs. great rates.",-,-,-,74.86,Fairly Easy,6th and 7th grade,15,10,2,3,,,
-,-,"book at hotel santa menta, manarea. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,9th and 10th grade,17,11,2,4,,,
-,-,"book a motel in i-city, ca. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,3th and 4th grade,16,11,2,3,,,
-,-,"book at hotel santa, i-city. no reservation costs. great rates.",-,-,-,66.4,Standard,8th and 9th grade,16,10,2,3,,,
-,-,"book at the sandoring, i-city. no reservation costs. great rates.",-,-,-,66.4,Standard,8th and 9th grade,16,10,2,3,,,
-,-,best rates or refund + $50 coupon. book your cord car hotel today!,-,-,-,90.77,Very Easy,2th and 3th grade,16,12,2,2,,,
-,-,"book at the santa convention hotel, i-city. no reservation costs. great rates.",-,-,-,56.93,Fairly Difficult,11th and 12th grade,20,12,2,5,,,
-,-,"book at the southester hotel, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,7th and 8th grade,16,11,2,3,,,
-,-,book at the sands car rental deals. no reservation costs. great rates.,-,-,-,99.23,Very Easy,7th and 8th grade,14,12,2,1,,,
-,-,"book at hotel le carino resort, i-city. no reservation costs. great rates.",-,-,-,65.39,Standard,9th and 10th grade,19,12,2,4,,,
-,-,"book at the santorna, i-city. no reservation costs. great rates.",-,-,-,66.4,Standard,8th and 9th grade,16,10,2,3,,,
-,-,book a hotel near same cardoral save up to 50% on your reservation.,-,-,-,75.2,Fairly Easy,6th and 7th grade,18,13,1,2,,,
-,-,"book at hotel lancarto, i-city. no reservation costs. great rates.",-,-,-,57.94,Fairly Difficult,15th and 16th grade,17,10,2,3,,,
-,-,"book at hotel lanta, i-city. no reservation costs. great rates.",-,-,-,66.4,Standard,8th and 9th grade,16,10,2,3,,,
-,-,"book a hotel near six florida airport, i-city. save up to 50% on your reservation.",-,-,-,72.32,Fairly Easy,6th and 7th grade,23,15,2,4,,,
-,-,"book at hotel le carmon i-city, i-city. no reservation costs. great rates.",-,-,-,56.93,Fairly Difficult,9th and 10th grade,20,12,2,4,,,
-,-,book your hotel in collert city ca online. no reservation costs. great rates.,-,-,-,90.26,Very Easy,1th and 2th grade,17,13,2,2,,,
-,-,"book at hotel la playa marina, i-city. no reservation costs. great rates.",-,-,-,65.39,Standard,5th and 6th grade,19,12,2,3,,,
-,-,"save with expedia's price guarantee. save big on hotels in santa mara, i-coun.",-,-,-,73.34,Fairly Easy,8th and 9th grade,19,13,2,4,,,
-,-,"book a hostel in i-city, usa. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,7th and 8th grade,16,11,2,3,,,
-,-,"save on hotels in i-city, i-coun.",-,-,-,73.85,Fairly Easy,17th and 18th grade,9,6,1,2,,,
-,-,best rates or refund +$50 coupon. book your san antoria coty hotel today!,-,-,-,73.34,Fairly Easy,6th and 7th grade,19,13,2,4,,,
-,-,best rates or refund + $50 coupon. book your carison hotel today!,-,-,-,74.35,Fairly Easy,7th and 8th grade,16,11,2,3,,,
-,-,best rates or refund + $50 coupon. book your colombe hotel today!,-,-,-,82.81,Easy,6th and 7th grade,15,11,2,2,,,
-,-,"book a hotel near santorinity, i-city. save up to 50% on your reservation.",-,-,-,64.88,Standard,7th and 8th grade,21,13,2,3,,,
-,-,"book a hotel near silvars street, i-city. save up to 50% on your reservation.",-,-,-,81.29,Easy,3th and 4th grade,20,14,2,3,,,
-,-,"book at the grand hotel, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,8th and 9th grade,16,11,2,3,,,
-,-,best rates or refund + $50 coupon. book your salama hotel today!,-,-,-,74.35,Fairly Easy,6th and 7th grade,16,11,2,3,,,
-,-,"book at the salley rose, i-city",-,-,-,73.85,Fairly Easy,1th and 2th grade,9,6,1,2,,,
-,-,book a hotel near parks station. save up to 50% on your reservation.,-,-,-,90.26,Very Easy,1th and 2th grade,17,13,2,2,,,
-,-,book your hotel in cannon city centre. no reservation costs. great rates.,-,-,-,82.31,Easy,5th and 6th grade,17,12,2,2,,,
-,-,"save on hotels in i-city, i-coun.",-,-,-,73.85,Fairly Easy,17th and 18th grade,9,6,1,2,,,
-,-,"book at the gorden hotel, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,9th and 10th grade,17,11,2,4,,,
-,-,book your hotel in i-city online. no reservation costs. great rates.,-,-,-,74.35,Fairly Easy,8th and 9th grade,17,11,2,3,,,
-,-,"book a motel in i-city, ca. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,3th and 4th grade,16,11,2,3,,,
-,-,"book at the santa convention center, i-city. no reservation costs. great rates.",-,-,-,56.93,Fairly Difficult,10th and 11th grade,20,12,2,5,,,
-,-,"best rates or refund + $50 coupon. book at the shilly hotel, i-city. no reservation costs. great rates.",-,-,-,82.61,Easy,7th and 8th grade,24,17,3,4,,,
-,-,"book a motel in i-city, ca. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,3th and 4th grade,16,11,2,3,,,
-,-,"book at hotel solama, i-city. no reservation costs. great rates.",-,-,-,57.94,Fairly Difficult,6th and 7th grade,17,10,2,3,,,
-,-,"book at the grande hotel & suites i-city, i-city. no reservation costs. great rates.",-,-,-,64.88,Standard,7th and 8th grade,21,13,2,3,,,
-,-,best rates or refund + $50 coupon. book your cancun hotel today!,-,-,-,74.35,Fairly Easy,6th and 7th grade,16,11,2,3,,,
-,-,book your hotel in i-city online. no reservation costs. great rates.,-,-,-,74.35,Fairly Easy,8th and 9th grade,17,11,2,3,,,
-,-,"book at thi channian hotel, i-city. no reservation costs. great rates.",-,-,-,65.89,Standard,9th and 10th grade,18,11,2,4,,,
-,-,best rates or refund + $50 coupon. book your santorini hotel today!,-,-,-,74.35,Fairly Easy,8th and 9th grade,17,11,2,3,,,
-,-,"book at the grand hotel, i-city. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,8th and 9th grade,16,11,2,3,,,
-,-,"book a motel in i-city, ca. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,3th and 4th grade,16,11,2,3,,,
