id,seed_text(prime_text),generated_text,perplexity,readability_(0-10),relevance_(R/I),difficulty_score,difficulty_label,school_grade_level,#_syllables,#_words,#_sentences,#_difficult_words,,,
-,-,deadwood. lowest price guarantee! no reservation costs. great rates. find and compare exclusive,-,-,-,58.65,Fairly Difficult,9th and 10th grade,22,13,3,5,,,
-,-,"central summit, pa and save big! book your hotel in yokosuka online. no",-,-,-,73.34,Fairly Easy,8th and 9th grade,19,13,2,4,,,
-,-,"prices, braunfels, gorda parks. i-city, i-city, island. book at longboat i-city admission. free",-,-,-,41.73,Difficult,10th and 11th grade,25,13,3,7,,,
-,-,"book i-city, i-city hotels best rates or refund + $50 coupon on crescent",-,-,-,50.84,Fairly Difficult,10th and 11th grade,20,12,1,5,,,
-,-,"online. find now. quick, confirmation. edelweiss inn - old golf. mayan castle hotel,",-,-,-,56.93,Fairly Difficult,9th and 10th grade,20,12,2,4,,,
-,-,"book this i-city hotel today! book at labadi beach hotel, aviemore. no reservation",-,-,-,64.88,Standard,10th and 11th grade,21,13,2,5,,,
-,-,"big great rates. save with expedia's price guarantee. save on hotels in emeryville,",-,-,-,84.03,Easy,7th and 8th grade,18,13,3,3,,,
-,-,"great rates. secure value with expedias price guarantee. save on hotels in pendleton,",-,-,-,64.88,Standard,8th and 9th grade,21,13,2,5,,,
-,-,"airport, i-city. no reservation costs. great rates. save on your fontaines hotels online",-,-,-,73.34,Fairly Easy,13th and 14th grade,20,13,2,5,,,
-,-,"hotels in i-city plaza, near hotels in i-city garden. book i-city, i-city hotels.",-,-,-,39.5,Difficult,10th and 11th grade,25,13,2,5,,,
-,-,"reservation costs. great rates. book the hotel listel i-city, i-city. no reservation costs.",-,-,-,47.96,Difficult,10th and 11th grade,23,13,2,4,,,
-,-,"hostel. book a villa in kissimmee, usa. get the book prices. save on",-,-,-,98.72,Very Easy,4th and 5th grade,16,13,2,3,,,
-,-,"newcastle, summit, pa and save big! book at the pheasant inn, cowra book",-,-,-,90.26,Very Easy,1th and 2th grade,17,13,2,3,,,
-,-,save to i-city. book a hotel near seaworld i-city. save up to 50%,-,-,-,75.57,Fairly Easy,0th and 1th grade,19,13,3,2,,,
-,-,costs. great rates. book a hotel near castro arena. book your hotel in,-,-,-,90.26,Very Easy,2th and 3th grade,17,13,2,2,,,
-,-,cheap and save on your beachfront hotel in i-coun. best rates or refund,-,-,-,98.72,Very Easy,10th and 11th grade,16,13,2,2,,,
-,-,secure hotel in i-city. save with expedia's price guarantee. find and compare exclusive,-,-,-,50.19,Fairly Difficult,9th and 10th grade,24,13,3,5,,,
-,-,hotels. find and online. no reservation costs. great rates. book at looking house,-,-,-,84.03,Easy,5th and 6th grade,18,13,3,4,,,
-,-,"hotel in i-city i-city, near i-city night steps of fun. book a vacation",-,-,-,56.42,Fairly Difficult,6th and 7th grade,22,13,2,3,,,
-,-,"dublin cho arch i-city, i-city. no reservation costs. great rates. deals on things",-,-,-,75.57,Fairly Easy,8th and 9th grade,19,13,3,3,,,
-,-,great rates. book your hotel in camberley online. no reservation costs. great rates.,-,-,-,73.34,Fairly Easy,7th and 8th grade,19,13,2,3,,,
-,-,hotel in i-city saint i-city i-city. book accommodation in rome. best rates or,-,-,-,50.19,Fairly Difficult,6th and 7th grade,24,13,3,3,,,
-,-,book your hotel in i-city book accommodation in mullingar online. no reservation costs.,-,-,-,47.96,Difficult,8th and 9th grade,23,13,2,4,,,
-,-,"near the baguio. quick, i-city, i-city. best rates or refund + $50 coupon.",-,-,-,75.88,Fairly Easy,7th and 8th grade,18,12,3,3,,,
-,-,"suwanee napa, quarter. find i-city. book at st berry farm inn, san pedro",-,-,-,73.34,Fairly Easy,6th and 7th grade,19,13,2,5,,,
-,-,travel lake. book at i-city gate business hotel i-city. no reservation costs. great,-,-,-,56.42,Fairly Difficult,8th and 9th grade,22,13,2,4,,,
-,-,book accommodation in kiev online. no reservation costs. great rates. book accommodation in,-,-,-,50.19,Fairly Difficult,12th and 13th grade,24,13,3,3,,,
-,-,"hotels in i-city. i-city, i-coun. best price guarantee. find exclusive deals on hotels",-,-,-,50.19,Fairly Difficult,9th and 10th grade,23,13,3,5,,,
-,-,"great rates! book a motel in carpinteria, ca. save on i-city grand break",-,-,-,81.8,Easy,3th and 4th grade,18,13,2,3,,,
-,-,book at south saint reykjavk grand ocean hotel hotel rome beach. no reservation,-,-,-,75.2,Fairly Easy,6th and 7th grade,18,13,1,2,,,
-,-,expedia and no reservation costs. great rates. best rates or refund + $50,-,-,-,73.85,Fairly Easy,8th and 9th grade,18,12,2,3,,,
-,-,stay of le cabos rome hotel. best rates or refund + $50 coupon.,-,-,-,90.77,Very Easy,1th and 2th grade,16,12,2,3,,,
-,-,davids i-city. no reservation costs. great rates. book your hotel near i-city airport.,-,-,-,64.88,Standard,8th and 9th grade,21,13,2,4,,,
-,-,rates. great rates. plan your next trip today! book at hotel caesar los,-,-,-,98.72,Very Easy,10th and 11th grade,16,13,2,2,,,
-,-,book a hotel near beale street. save up to 50% on your reservation.,-,-,-,98.72,Very Easy,1th and 2th grade,16,13,2,1,,,
-,-,"north side, quarter. find and save big! the celtic best rates or refund",-,-,-,100.95,Other Value,3th and 4th grade,15,13,3,2,,,
-,-,"big! find and compare exclusive deals on hotels in morgantown, wv. best rates",-,-,-,66.74,Standard,7th and 8th grade,19,13,1,3,,,
-,-,"book hotel with i-city. book at hotel fresh, i-city. no reservation costs. great",-,-,-,67.11,Standard,8th and 9th grade,21,13,3,2,,,
-,-,accommodation in i-city. great a hotel in i-city get online on your fun,-,-,-,47.96,Difficult,8th and 9th grade,23,13,2,4,,,
-,-,"suites, harrison navona. i-city, i-city. save up to i-city. book your hotel in",-,-,-,58.65,Fairly Difficult,6th and 7th grade,22,13,3,3,,,
-,-,"rates. book a hostel in i-city beach, fl. no reservation costs. great rates.",-,-,-,81.8,Easy,7th and 8th grade,18,13,2,3,,,
-,-,"online. book at tower i-city, i-city. no reservation costs. great rates. quick, easy",-,-,-,64.88,Standard,8th and 9th grade,21,13,2,4,,,
-,-,"reservation costs. great rates. find exclusive deals on hotels in alliance, i-city and",-,-,-,58.28,Fairly Difficult,14th and 15th grade,21,13,1,5,,,
-,-,"rates. book a hotel, i-city. best rates or refund + $50 coupon. hotels",-,-,-,73.85,Fairly Easy,4th and 5th grade,18,12,2,4,,,
-,-,"great rates! find and compare exclusive deals on accommodations in i-city, i-city and",-,-,-,41.36,Difficult,10th and 11th grade,24,13,1,4,,,
-,-,"best rates or refund + $50 coupon. save on hotels in i-city, i-city",-,-,-,65.39,Standard,5th and 6th grade,19,12,2,4,,,
-,-,"choices, book your hotel in punta del park book at cancun, riverside vilamoura,",-,-,-,66.74,Standard,22th and 23th grade,20,13,1,5,,,
,,,,,,,,,,,,,,Difficulty,count
,,,,,,,,,,,,,,Very Easy,14
,,,,,,,,,,,,,,Easy,11
,,,,,,,,,,,,,,Fairly Easy,28
,,,,,,,,,,,,,,Standard,14
,,,,,,,,,,,,,,Fairly Difficult,17
,,,,,,,,,,,,,,Difficult,13
,,,,,,,,,,,,,,Very Confusing,1
