original_title,generated _text,original_desc,perplexity,
['dr jolie bookspan'],"e. buy serp free shippie 
browse free ship free shippie 
browse free ship free shippie 
browse free ","['books to suit every method of staying healthy', 'books to suit every method of staying healthy', 'books to suit every method of staying healthy', 'books to suit every method of staying healthy', 'books to suit every method of staying healthy', 'books to suit every method of staying healthy', 'books to suit every method of staying healthy']",142.1913199,
['hadley book boxes']," 
free ship free shippie 
browse free ship free shippie 
browse free ship free shippie 
browse free ","['everyday low prices, save up to 50% free shipping on qualified orders.', 'everyday low prices, save up to 50% free shipping on qualified orders.', 'everyday low prices, save up to 50%free shipping on qualified orders.']",120.9130679,
['americas test kitchen book'],"s free shipping on quote tpday!
buy book stand for $iindle fire free shipping on quar in the buy the","['buy books on cooking, food &amp; wine. free shipping on qualified orders.', 'buy books on cooking, food &amp; wine. free shipping on qualified orders.', 'buy books on cooking, food &amp; wine. free shipping on qualified orders.', 'buy books on cooking, food &amp; wine. free shipping on qualified orders.', 'buy books on cooking, food &amp; wine. free shipping on qualified orders.', 'buy books on cooking, food &amp; wine. free shipping on qualified orders.', 'buy books on cooking, food &amp; wine. free shipping on qualified orders.']",59.73923603,
['guidebook maui at amazon']," 
free shipping on qale free shipping on qale free shipping on qale free shipping on qale free shipp",['buy travel guides &amp; travel tales. explore the world &amp; save!'],8.707261561,
['quickbooks pro 2011 mac'],"b free shipping on amazon.
buy book sht with ama top-ra free shipping on amazon.
buy book sht with a",['find your software at great prices. free shipping on qualified orders.'],75.63270031,
"[""twinkle tooth fairy - save on kids' books for all ages""]"," today!
buy book stand at amazon! free shipping on qualified orders.
buy book stand at amazon! free ","['free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.']",28.4541462,
['samsung ultrabook 9'],"sy serpee

free 2-day ship free shipping free shipping free shipping free shipping free shipping fre","['top-rated samsung ultrabook 9 free 2-day shipping w/amazon prime!', 'top-rated samsung ultrabook 9 free 2-day shipping w/amazon prime!', 'top-rated samsung ultrabook 9 free 2-day shipping w/amazon prime!']",16.48480645,
['leaning bookcase black'], free shipping of tod books free shipping of freate sop-rated top-rated buy dookbook foee shipping o,"['everyday low prices, save up to 50% free shipping on qualified orders.', 'everyday low prices, save up to 50% free shipping on qualified orders.', 'everyday low prices, save up to 50% free shipping on qualified orders.', 'everyday low prices, save up to 50% free shipping on qualified orders.', 'everyday low prices, save up to 50% free shipping on qualified orders.']",56.24886288,
['traditional italian cookbook - official site'],"es free shipping on qualified orders.
buy book stand at amazon! free shipping on qualified orders.
b","['browse & discover thousands of cooking food & wine book titles, for less.', 'browse & discover thousands of cooking food & wine book titles, for less.']",29.35984328,
['candace cameron bure books']," free shipping on quote tpday!
buy book stand for $iindle fire free shipping on quar in the buy the ","['free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books']",42.15535477,
['hp probook 4540s notebook'],"  free shipping on quotective free 2-day shipping with amazon
student.
buy book shelf for $ $2..9 to","['top-rated hp probook 4540s notebook free 2-day shipping w/amazon prime!', 'top-rated hp probook 4540s notebook free 2-day shipping w/amazon prime!', 'top-rated hp probook 4540s notebook free 2-day shipping w/amazon prime!', 'top-rated hp probook 4540s notebook free 2-day shipping w/amazon prime!', 'top-rated hp probook 4540s notebook free 2-day shipping w/amazon prime!']",38.9653403,
['camera notebook at amazon'],"!
free shipping on quotective free 2-day shipping with amazon
student.
buy book shelf for $ $2..9 to","['top-rated camera notebook free 2-day shipping w/amazon prime!', 'top-rated camera notebook free 2-day shipping w/amazon prime!', 'top-rated camera notebook free 2-day shipping w/amazon prime!', 'top-rated camera notebook free 2-day shipping w/amazon prime!', 'top-rated camera notebook free 2-day shipping w/amazon prime!', 'top-rated camera notebookfree 2-day shipping w/amazon prime!']",36.38309228,
"['free horror book - millions of titles, new &amp; used']",". free shipping on qualified orders.
buy book stand at amazon! free shipping on qualified orders.
bu","['free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.']",17.3333672,
['cooking fish cookbook - official site'],"e of the book of the books.
buy book stand at amazon!student.
buy book stand at amazon! free shippin","['browse & discover thousands of cooking food & wine book titles, for less.', 'browse & discover thousands of cooking food & wine book titles, for less.', 'browse & discover thousands of cooking food & wine book titles, for less.', 'browse & discover thousands of cooking food & wine book titles, for less.', 'browse & discover thousands of cooking food & wine book titles, for less.']",115.6375297,
['plastic notebook']," 
buy seadiree

top-rea free shippe 
buy seadiree

top-rea free shippe 
buy seadiree

top-rea free s","['shop for plastic notebook on amazon. compare by price, type &amp; brand.', 'shop for plastic notebook on amazon. compare by price, type &amp; brand.', 'shop for plastic notebook on amazon. compare by price, type &amp; brand.', 'shop for plastic notebook on amazon. compare by price, type &amp; brand.']",52.42307671,
['scrapbooking albums 12x12 - shop low prices & top brands']," free shipping on qualified orders.
buy book stand at amazon! free shipping on qualified orders.
buy","['read customer reviews & find best sellers. free 2-day shipping w/amazon prime.', 'read customer reviews & find best sellers. free 2-day shipping w/amazon prime.', 'read customer reviews & find best sellers. free 2-day shipping w/amazon prime.', 'read customer reviews & find best sellers. free 2-day shipping w/amazon prime.', 'read customer reviews & find best sellers. free 2-day shipping w/amazon prime.', 'read customer reviews & find best sellers. free 2-day shipping w/amazon prime.', 'read customer reviews & find best sellers. free 2-day shipping w/amazon prime.']",16.40968355,
"['polish recipe book - buy books on cooking, food &amp; wine']"," free shipping on qualified orders.
buy book stand at amazon! free shipping on qualified orders.
buy","['free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.']",16.40968355,
['the piano book at amazon - official site'],"es free shipping on qualified orders.
buy book stand at amazon! free shipping on qualified orders.
b","['buy the piano book at amazon. free shipping on qualified orders.', 'buy the piano book at amazon. free shipping on qualified orders.', 'buy the piano book at amazon. free shipping on qualified orders.']",29.35984328,
['jean m auel book 7'],0she. buy book  auy book free shipping free shipping free shipping free shipping free shipping free ,"['millions of titles, new &amp; used.free shipping on qualified orders.', 'millions of titles, new &amp; used.free shipping on qualified orders.', 'millions of titles, new &amp; used.free shipping on qualified orders.', 'millions of titles, new &amp; used.free shipping on qualified orders.', 'millions of titles, new &amp; used.free shipping on qualified orders.', 'millions of titles, new &amp; used.free shipping on qualified orders.']",10.55591452,
['macbook pro 13-inch case'], free shipping on qale free shipping on qale free shipping on qale free shipping on qale free shippi,"['save on macbook pro 13-inch case free 2-day shipping w/amazon prime!', 'top-rated macbook pro 13-inch case free 2-day shipping w/amazon prime!', 'top-rated macbook pro 13-inch case free 2-day shipping w/amazon prime!', 'top-rated macbook pro 13-inch case free 2-day shipping w/amazon prime!', 'top-rated macbook pro 13-inch case free 2-day shipping w/amazon prime!', 'top-rated macbook pro 13-inch case free 2-day shipping w/amazon prime!', 'top-rated macbook pro 13-inch case free 2-day shipping w/amazon prime!', 'top-rated macbook pro 13-inch case free 2-day shipping w/amazon prime!', 'top-rated macbook pro 13-inch case free 2-day shipping w/amazon prime!', 'top-rated macbook pro 13-inch case free 2-day shipping w/amazon prime!']",8.707261561,
['macbook air 13 skins at amazon - shop computers & add-ons'],"ibt free shipping on qualified orders.
buy book stand at amazon! free shipping on qualified orders.
","['save on macbook air 13 skins. free 2-day shipping w/amazon prime.', 'save on macbook air 13 skins. free 2-day shipping w/amazon prime.', 'save on macbook air 13 skins. free 2-day shipping w/amazon prime.', 'save on macbook air 13 skins. free 2-day shipping w/amazon prime.', 'save on macbook air 13 skins. free 2-day shipping w/amazon prime.', 'save on macbook air 13 skins. free 2-day shipping w/amazon prime.', 'save on macbook air 13 skins. free 2-day shipping w/amazon prime.', 'save on macbook air 13 skins. free 2-day shipping w/amazon prime.', 'save on macbook air 13 skins. free 2-day shipping w/amazon prime.', 'save on macbook air 13 skins. free 2-day shipping w/amazon prime.']",18.73497605,
['book about periods for girls - official site'],"es free shipping on qualified orders.
buy book stand at amazon! free shipping on qualified orders.
b","['browse & discover thousands of childrens book titles, for less.', 'browse & discover thousands of childrens book titles, for less.', 'browse & discover thousands of childrens book titles, for less.', 'browse & discover thousands of childrens book titles, for less.', 'browse & discover thousands of childrens book titles, for less.', 'browse & discover thousands of childrens book titles, for less.', 'browse & discover thousands of childrens book titles, for less.', 'browse & discover thousands of childrens book titles, for less.', 'browse & discover thousands of childrens book titles, for less.', 'browse & discover thousands of childrens book titles, for less.', 'browse & discover thousands of childrens book titles, for less.']",29.35984328,
['game of thrones book mark - official site'],"es  free shipping on qualified orders.
buy book stand at amazon! free shipping on qualified orders.
","['browse & discover thousands of book titles, for less.', 'browse & discover thousands of book titles, for less.', 'browse & discover thousands of book titles, for less.']",18.73497605,
['large bookcases at amazon'],".
find deals on amazon.
buy book stand of macbook free shipping on quotective free 2-day shipping wi","['everyday low prices, save up to 50% free shipping on qualified orders.', 'everyday low prices, save up to 50% free shipping on qualified orders.', 'everyday low prices, save up to 50% free shipping on qualified orders.']",26.8625638,
['the complete books of enoch'],e seadp free shipping on quar in hindle & gini ferii she bmd sales free shipping on quar in hindle &,"['low prices on millions of books. free shipping on qualified orders.', 'low prices on millions of books. free shipping on qualified orders.', 'low prices on millions of books. free shipping on qualified orders.', 'low prices on millions of books. free shipping on qualified orders.', 'low prices on millions of books. free shipping on qualified orders.', 'low prices on millions of books. free shipping on qualified orders.', 'low prices on millions of books. free shipping on qualified orders.', 'low prices on millions of books.free shipping on qualified orders.']",66.28554533,
['trauma workbook at amazon - amazon.com'], to to 70% on top rali free shipping on qualified order top-rated macbook pro 13 in how to araathog ,"['books to suit every method of staying healthy', 'books to suit every method of staying healthy', 'books to suit every method of staying healthy']",49.4444292,
['scrapbook sticker maker - amazon.com'],"pary soday!
buy book stand at amazon!student.
buy book stand at amazon!student.
buy book stand at am","['buy scrapbook sticker maker at amazon! free shipping on qualified orders.', 'buy scrapbook sticker maker at amazon! free shipping on qualified orders.', 'buy scrapbook sticker maker at amazon! free shipping on qualified orders.', 'buy scrapbook sticker maker at amazon! free shipping on qualified orders.', 'buy scrapbook sticker maker at amazon! free shipping on qualified orders.', 'buy scrapbook sticker maker at amazon! free shipping on qualified orders.', 'buy scrapbook sticker maker at amazon! free shipping on qualified orders.', 'buy scrapbook sticker maker at amazon! free shipping on qualified orders.', 'buy scrapbook sticker maker at amazon! free shipping on qualified orders.', 'buy scrapbook sticker maker at amazon! free shipping on qualified orders.', 'buy scrapbook sticker maker at amazon! free shipping on qualified orders.', 'buy scrapbook sticker maker at amazon! free shipping on qualified orders.']",82.67553075,
['created by god student book'],s free shipping on quar in hindle & gini ferii she bmd sales free shipping on quar in hindle & gini ,"['low prices on created by god student book free shipping on qualified orders.', 'low prices on created by god student book free shipping on qualified orders.', 'low prices on created by god student book free shipping on qualified orders.']",74.43575524,
['music player story book']," in hindle buy scrapbook. free 2-day shipping of frea thipping sities,
find deals on amazon.
buy boo","['buy music player story book at amazon! free shipping on qualified orders.', 'buy music player story book at amazon! free shipping on qualified orders.']",74.79398766,
['gecko book at amazon'], sop-rated free shipping free shipping free shipping free shipping free shipping free shipping free ,"['millions of titles, new &amp; used.free shipping on qualified orders.', 'millions of titles, new &amp; used.free shipping on qualified orders.', 'millions of titles, new &amp; used.free shipping on qualified orders.', 'millions of titles, new &amp; used.free shipping on qualified orders.', 'millions of titles, new &amp; used.free shipping on qualified orders.']",6.948619816,
"[""book lover's gifts on amazon - low priced book lover's gifts""]", book of the book of the books on amazon sop-rated macbook pro 13 inch case free 2-day shipping w/ a,"['read customer reviews & find best sellers. free 2-day shipping w/amazon prime.', 'read customer reviews & find best sellers. free 2-day shipping w/amazon prime.', 'read customer reviews & find best sellers. free 2-day shipping w/amazon prime.']",47.00274595,
['deep fryer cook book - amazon.com'],"pary prices for bhastirs on amazon.
buy book stand at amazon 
free shipping on qualified shipping on","['everyday low prices, save up to 50% free shipping on qualified orders.']",23.40282301,
['free theological books']," free shipping of freate sop-rated top-rated buy dookbook foee shipping on amazon.
buy book seteree
","['buy free theological books at amazon! free shipping on qualified orders.', 'buy free theological books at amazon! free shipping on qualified orders.', 'buy free theological books at amazon! free shipping on qualified orders.']",41.47912808,
['engineering data book'],s free shipping free 2-day shippies free shipping of macbo  free shipping of freet buy scrapbook fre,"['books to satisfy anyone from new learners to computer geeks.', 'books to satisfy anyone from new learners to computer geeks.']",42.88632356,
['games for grammar practice - save on reference books']," for kids free shipping on qualified orders.
buy book stand at amazon! free shipping on qualified or","['free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.']",25.71865918,
['blank spiral recipe book - official site'],"es free shipping on qualified orders.
buy book stand at amazon! free shipping on qualified orders.
b","['browse & discover thousands of cooking food & wine book titles, for less.', 'browse & discover thousands of cooking food & wine book titles, for less.', 'browse & discover thousands of cooking food & wine book titles, for less.', 'browse & discover thousands of cooking food & wine book titles, for less.', 'browse & discover thousands of cooking food & wine book titles, for less.', 'browse & discover thousands of cooking food & wine book titles, for less.', 'browse & discover thousands of cooking food & wine book titles, for less.', 'browse & discover thousands of cooking food & wine book titles, for less.', 'browse & discover thousands of cooking food & wine book titles, for less.', 'browse & discover thousands of cooking food & wine book titles, for less.']",29.35984328,
['comic book art books'], free shipping free shipping free shipping free shipping free shipping free shipping free shipping f,"['millions of titles, new &amp; used.free shipping on qualified orders.']",11.39187653,
['macbook pro batteries 17 inch'], free shipping on qualifr free shipping on qualifr free shipping on qualifr free shipping on qualifr,"['top-rated macbook pro batteries 17 inchfree 2-day shipping w/amazon prime!', 'top-rated macbook pro batteries 17 inch free 2-day shipping w/amazon prime!', 'top-rated macbook pro batteries 17 inchfree 2-day shipping w/amazon prime!', 'top-rated macbook pro batteries 17 inch free 2-day shipping w/amazon prime!', 'top-rated macbook pro batteries 17 inch free 2-day shipping w/amazon prime!', 'top-rated macbook pro batteries 17 inch free 2-day shipping w/amazon prime!', 'top-rated macbook pro batteries 17 inchfree 2-day shipping w/amazon prime!']",7.811487052,
"[""geography grade 8 - save on kids' books for all ages""]","  buy book stand at amazon! free shipping on qualified orders.
buy book stand at amazon! free shippi","['free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.']",28.4541462,
['robert lewis books']," on ama free shippdnee
ship free shipping free shipping free shipping free shipping free shipping fr","['free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books']",13.33765921,
['usborne book of greek myths'],"al tiee severs on amazon.
buy book stand for $ $2..9 bry scrapbod  buy book shelf so arazong top-rat","[""save on kids' books for all ages. free shipping on qualified orders."", ""save on kids' books for all ages. free shipping on qualified orders."", ""save on kids' books for all ages. free shipping on qualified orders."", ""save on kids' books for all ages. free shipping on qualified orders."", ""save on kids' books for all ages. free shipping on qualified orders.""]",180.5130064,
['book stand desk on amazon'],".
buy book stand of macbook free shipping on quotective free 2-day shipping with amazon
student.
buy","['shop for book stand desk on amazon. compare by price, type &amp; brand.', 'shop for book stand desk on amazon. compare by price, type &amp; brand.', 'shop for book stand desk on amazon. compare by price, type &amp; brand.', 'shop for book stand desk on amazon. compare by price, type &amp; brand.', 'shop for book stand desk on amazon. compare by price, type &amp; brand.']",22.21910121,
['ibook g4 airport card'], free shipping of freet buy scrapbook free shipping of freet buy scrapbook free shipping of freet bu,"['buy ibook g4 airport card at amazon! free shipping on qualified orders.', 'buy ibook g4 airport card at amazon! free shipping on qualified orders.', 'buy ibook g4 airport card at amazon! free shipping on qualified orders.', 'buy ibook g4 airport card at amazon! free shipping on qualified orders.', 'buy ibook g4 airport card at amazon! free shipping on qualified orders.']",37.71019967,
['bacon cook book at amazon.com - buy bacon cook book at amazon'],"! free shipping on qualified orders.
buy book stand at amazon! free shipping on qualified orders.
bu","['free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.']",18.18988491,
['scrapbook butterfly stickers - amazon.com official site'],"es free shipping on qualified orders.
buy book stand at amazon! free shipping on qualified orders.
b","['find deals on scrapbook butterfly stickers in scrapbooking on amazon.', 'find deals on scrapbook butterfly stickers in scrapbooking on amazon.', 'find deals on scrapbook butterfly stickers in scrapbooking on amazon.', 'find deals on scrapbook butterfly stickers in scrapbooking on amazon.', 'find deals on scrapbook butterfly stickers in scrapbooking on amazon.', 'find deals on scrapbook butterfly stickers in scrapbooking on amazon.', 'find deals on scrapbook butterfly stickers in scrapbooking on amazon.']",29.35984328,
"['butchery books at amazon - buy books on cooking, food & wine']"," free shipping on qualified orders.
buy book stand at amazon! free shipping on qualified orders.
buy",['free shipping on qualified orders.'],16.40968355,
['book band at amazon - official site'],"es free shipping on qualified orde shipping on qualifis oe the books.
buy book stand at amazon stude",['buy book band at amazon. free shipping on qualified orders.'],39.35268814,
['kitchen aid mixer cookbooks'],". free 2-day shipping with amazon 
buy book shelf auy book of she book of more.
buy book stand soday","['buy books on cooking, food &amp; wine. free shipping on qualified orders.', 'buy books on cooking, food & wine. free shipping on qualified orders.']",108.8579197,
['starfish book at amazon'],".
free 2-day shipping of frea thipping sities,
find deals on amazon.
buy book sht with ama top-ra fr","['free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon primelow prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon primelow prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon primelow prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon primelow prices on millions of books']",56.23228902,
['cachet classic sketch book'],"s free shipping on quote tpday!
buy book stand for $iindle fire free shipping on quar in the buy the","['free 2-day shipping w/ amazon primelow prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon primelow prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon primelow prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon primelow prices on millions of books']",59.73923603,
['gamache in order - save on new &amp; used mystery books']," on amazon.
buy book stand at amazon! free shipping on qualified orders.
buy book stand at amazon! f",['free shipping on qualified orders.'],55.91448613,
['time for bed book']," free shippie 
browse free ship free shippie 
browse free ship free shippie 
browse free ship free s","['buy time for bed book at amazon!free shipping on qualified orders.', 'buy time for bed book at amazon!free shipping on qualified orders.', 'buy time for bed book at amazon!free shipping on qualified orders.']",171.2695557,
['scrapbook picture frames'],. buy book shelft free shipping on qale free shipping on qale free shipping on qale free shipping on,['buy scrapbook picture frames at amazon! free shipping on qualified orders.'],8.418293217,
['fast track music instruction - save on reference books']," on amazon
buy book of serapbook at amazon! free shipping on qualified orders.
buy book stand at ama","['free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.']",25.90551167,
['oet books for nurses - free 2-day shipping w/ prime']," thippeng on qualish soll for the books on amazon.
buy book stand at amazon! free shipping on qualif","['browse & discover thousands of education & teaching book titles, for less.']",34.14960067,
"[""the borrowers boxed set - save on kids' books for all ages""]"," today!
buy book stand at amazon! free shipping on qualified orders.
buy book stand at amazon! free ","['free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.']",28.4541462,
"['flowers in the attic book set - millions of titles, new &amp; used']",". free shipping on qualified orders.
buy book stand at amazon! free shipping on qualified orders.
bu","['free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.']",17.3333672,
['macbook pro covers a1278']," free shipping wi amazon 
find deals on amazon.
buy book shelft free shipping on qale free shipping ","['top-rated macbook pro covers a1278 free 2-day shipping w/amazon prime!', 'top-rated macbook pro covers a1278 free 2-day shipping w/amazon prime!']",20.58852075,
['sleight of mouth robert dilts - save on reference books']," on amazon
buy book of serapbook at amazon! free shipping on qualified orders.
buy book stand at ama","['free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.']",25.90551167,
['preemie baby book - amazon.com']," today!
buy book of serapbook for kids books on amazon.seop tee sare boazon stand for the books.
buy","['millions of titles, new &amp; used. free shipping on qualified orders.']",78.76952763,
['allergy self-help cookbook - amazon.com']," today!
buy book stand at amazon! free shipping on qualified orders on amazon
buy book of serapbook ",['books to suit every method of staying healthy'],20.90063399,
['rocket stove book - free 2-day shipping w/ prime']," thippeng on qualith au amazon student.
buy book stand at amazon! free shipping on qualified orders.","['browse & discover thousands of home & garden book titles, for less.', 'browse & discover thousands of home & garden book titles, for less.', 'browse & discover thousands of home & garden book titles, for less.']",26.74023424,
['herschel macbook air sleeve - amazon.com'],"pary protector wour ter for hinl drom in home feals.
top-rated macbook pro 13 inch for the books.
bu","['top-rated herschel macbook air sleeve free 2-day shipping w/amazon prime!', 'top-rated herschel macbook air sleeve free 2-day shipping w/amazon prime!', 'top-rated herschel macbook air sleeve free 2-day shipping w/amazon prime!', 'top-rated herschel macbook air sleeve free 2-day shipping w/amazon prime!', 'top-rated herschel macbook air sleeve free 2-day shipping w/amazon prime!', 'top-rated herschel macbook air sleeve free 2-day shipping w/amazon prime!', 'top-rated herschel macbook air sleeve free 2-day shipping w/amazon prime!']",99.92582628,
"[""hades book at amazon - save on kids' books for all ages""]"," today!
buy book stand at amazon! free shipping on qualified orders.
buy book stand at amazon! free ","['free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.']",28.4541462,
['free kindlebook at amazon - save on reference books']," for kids in home fere in home fecos.
buy book shelf at amazon! free shipping on qualified orders.
b","['free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.']",74.22428581,
['comic books for kids 9 12'], sodient. buy book shelf free shipping on qale free shipping on quotective free 2-day shipping with ,"[""save on kids' books for all ages. free shipping on qualified orders."", ""save on kids' books for all ages. free shipping on qualified orders."", ""save on kids' books for all ages. free shipping on qualified orders.""]",19.797583,
['yummy yucky book'],"
free ship free shippe 
buy seadiree

top-rea free shippe 
buy seadiree

top-rea free shippe 
buy se","[""save on kids' books for all ages.free shipping on qualified orders.""]",60.8019581,
['macbook pro 13-inch mid 2009 ram - amazon.com official site'],"es free shipping on qualified orders.
buy book stand at amazon! free shipping on qualified orders.
b","['find deals on macbook pro 13-inch mid 2009 ram in computers on amazon.', 'find deals on macbook pro 13-inch mid 2009 ram in computers on amazon.', 'find deals on macbook pro 13-inch mid 2009 ram in computers on amazon.', 'find deals on macbook pro 13-inch mid 2009 ram in computers on amazon.']",29.35984328,
['cute bookend on amazon'],".
buy book seteree
shipping on amazon.
buy book seteree
shipping on amazon.
buy book seteree
shippin","['shop for cute bookend on amazon.compare by price, type &amp; brand.', 'shop for cute bookend on amazon. compare by price, type &amp; brand.', 'shop for cute bookend on amazon. compare by price, type &amp; brand.', 'shop for cute bookend on amazon. compare by price, type &amp; brand.', 'shop for cute bookend on amazon. compare by price, type &amp; brand.']",37.04316227,
['the sneaker coloring book - amazon.com'],"parh to she books on amazon
buy book of serapbook at amazon student.
buy book stand at amazon! free ",['by henrik klingel free shipping on qualified orders.'],58.57976661,
['shop amazon macbook air cover - free shipping w/ prime'],"s!free shipping on qualified orders.
buy book stand at amazon! free shipping on qualified orders.
bu",['find deals on amazon macbook air cover in computers on amazon.'],22.80447455,
