id,seed_text(prime_text),generated_text,perplexity,readability_(0-10),relevance_(R/I),difficulty_score,difficulty_label,school_grade_level,#_syllables,#_words,#_sentences,#_difficult_words
-,-,"accommodation in washington, town book your rentals on expedia best price guarantee. secure",-,-,-,41.36,Difficult,10th and 11th grade,24,13,1,5
-,-,"accommodation in washington, town book your rentals on expedia best price guarantee. secure",-,-,-,41.36,Difficult,10th and 11th grade,24,13,1,5
-,-,"accommodation in washington, town book your rentals on expedia best price guarantee. secure",-,-,-,41.36,Difficult,10th and 11th grade,24,13,1,5
-,-,"brighton, plymouth. jersey and philippines. save up to 50% on your hotel! best",-,-,-,90.26,Easy,8th and 9th grade,17,13,2,4
-,-,"brighton, plymouth. jersey and philippines. save up to 50% on your hotel! best",-,-,-,90.26,Easy,8th and 9th grade,17,13,2,4
-,-,"brighton, plymouth. jersey and philippines. save up to 50% on your hotel! best",-,-,-,90.26,Easy,8th and 9th grade,17,13,2,4
-,-,"travel prices. save big on hotels in cartagena. bernerhof al site, rooms with",-,-,-,73.34,Easy,8th and 9th grade,19,13,2,4
-,-,"travel prices. save big on hotels in cartagena. bernerhof al site, rooms with",-,-,-,73.34,Easy,8th and 9th grade,19,13,2,4
-,-,"travel prices. save big on hotels in cartagena. bernerhof al site, rooms with",-,-,-,73.34,Easy,8th and 9th grade,19,13,2,4
-,-,great rates. cheap hotels by dubai save up to $570. book today for,-,-,-,98.72,Easy,1th and 2th grade,15,13,2,1
-,-,great rates. cheap hotels by dubai save up to $570. book today for,-,-,-,98.72,Easy,1th and 2th grade,15,13,2,1
-,-,great rates. cheap hotels by dubai save up to $570. book today for,-,-,-,98.72,Easy,1th and 2th grade,15,13,2,1
-,-,"big hotels by hotel dallas airport, perth. no reservation costs. great rates. book",-,-,-,73.34,Easy,10th and 11th grade,19,13,2,4
-,-,"big hotels by hotel dallas airport, perth. no reservation costs. great rates. book",-,-,-,73.34,Easy,10th and 11th grade,19,13,2,4
-,-,"big hotels by hotel dallas airport, perth. no reservation costs. great rates. book",-,-,-,73.34,Easy,10th and 11th grade,19,13,2,4
-,-,"find and compare exclusive deals on hotels in hendersonville, city, ky. book at",-,-,-,66.74,Standard,7th and 8th grade,20,13,1,3
-,-,"find and compare exclusive deals on hotels in hendersonville, city, ky. book at",-,-,-,66.74,Standard,7th and 8th grade,20,13,1,3
-,-,"find and compare exclusive deals on hotels in hendersonville, city, ky. book at",-,-,-,66.74,Standard,7th and 8th grade,20,13,1,3
-,-,"view, noosa greece book inn, center online. no reservation costs. great rates. book",-,-,-,90.26,Easy,10th and 11th grade,17,13,2,2
-,-,"view, noosa greece book inn, center online. no reservation costs. great rates. book",-,-,-,90.26,Easy,10th and 11th grade,17,13,2,2
-,-,"view, noosa greece book inn, center online. no reservation costs. great rates. book",-,-,-,90.26,Easy,10th and 11th grade,17,13,2,2
-,-,best here fort myers beach hotel today! book your hotel in laporte in,-,-,-,81.8,Easy,13th and 14th grade,18,13,2,3
-,-,best here fort myers beach hotel today! book your hotel in laporte in,-,-,-,81.8,Easy,13th and 14th grade,18,13,2,3
-,-,best here fort myers beach hotel today! book your hotel in laporte in,-,-,-,81.8,Easy,13th and 14th grade,18,13,2,3
-,-,great rates. hotel with onsite restaurants in north south wifi. book your hotel,-,-,-,90.26,Easy,10th and 11th grade,17,13,2,2
-,-,great rates. hotel with onsite restaurants in north south wifi. book your hotel,-,-,-,90.26,Easy,10th and 11th grade,17,13,2,2
-,-,great rates. hotel with onsite restaurants in north south wifi. book your hotel,-,-,-,90.26,Easy,10th and 11th grade,17,13,2,2
-,-,deals book a cheap hotel in hilton penh abbey island online. no reservation,-,-,-,75.2,Easy,6th and 7th grade,18,13,1,2
-,-,deals book a cheap hotel in hilton penh abbey island online. no reservation,-,-,-,75.2,Easy,6th and 7th grade,18,13,1,2
-,-,deals book a cheap hotel in hilton penh abbey island online. no reservation,-,-,-,75.2,Easy,6th and 7th grade,18,13,1,2
-,-,"best in key bay beach fl oceanfront hotel, dubai. no reservation costs. great",-,-,-,90.26,Easy,1th and 2th grade,17,13,2,3
-,-,"best in key bay beach fl oceanfront hotel, dubai. no reservation costs. great",-,-,-,90.26,Easy,1th and 2th grade,17,13,2,3
-,-,"best in key bay beach fl oceanfront hotel, dubai. no reservation costs. great",-,-,-,90.26,Easy,1th and 2th grade,17,13,2,3
-,-,hotel in plymouth meeting pa. no reservation costs. great rates. save on hotels,-,-,-,75.57,Easy,6th and 7th grade,19,13,3,3
-,-,hotel in plymouth meeting pa. no reservation costs. great rates. save on hotels,-,-,-,75.57,Easy,6th and 7th grade,19,13,3,3
-,-,hotel in plymouth meeting pa. no reservation costs. great rates. save on hotels,-,-,-,75.57,Easy,6th and 7th grade,19,13,3,3
-,-,"grand the san antonio center. book great rates from san francisco, all-inclusive station",-,-,-,73.34,Easy,8th and 9th grade,20,13,2,4
-,-,"grand the san antonio center. book great rates from san francisco, all-inclusive station",-,-,-,73.34,Easy,8th and 9th grade,20,13,2,4
-,-,"grand the san antonio center. book great rates from san francisco, all-inclusive station",-,-,-,73.34,Easy,8th and 9th grade,20,13,2,4
-,-,"stay save penang, puerto rico beach hotel on your villa when villa comunale.",-,-,-,66.74,Standard,8th and 9th grade,20,13,1,4
-,-,"stay save penang, puerto rico beach hotel on your villa when villa comunale.",-,-,-,66.74,Standard,8th and 9th grade,20,13,1,4
-,-,"stay save penang, puerto rico beach hotel on your villa when villa comunale.",-,-,-,66.74,Standard,8th and 9th grade,20,13,1,4
-,-,reservation costs. great rates. best rates on grand hotel new delhi. plan your,-,-,-,83.66,Easy,4th and 5th grade,17,13,1,2
-,-,reservation costs. great rates. best rates on grand hotel new delhi. plan your,-,-,-,83.66,Easy,4th and 5th grade,17,13,1,2
-,-,reservation costs. great rates. best rates on grand hotel new delhi. plan your,-,-,-,83.66,Easy,4th and 5th grade,17,13,1,2
-,-,save on cheap hotels in az online. no reservation costs. great rates. book,-,-,-,90.26,Easy,7th and 8th grade,17,13,2,3
-,-,save on cheap hotels in az online. no reservation costs. great rates. book,-,-,-,90.26,Easy,7th and 8th grade,17,13,2,3
-,-,save on cheap hotels in az online. no reservation costs. great rates. book,-,-,-,90.26,Easy,7th and 8th grade,17,13,2,3
-,-,hotel in natick ma online. no reservation costs. great rates. 25 hotels near,-,-,-,75.57,Easy,3th and 4th grade,19,13,3,4
-,-,hotel in natick ma online. no reservation costs. great rates. 25 hotels near,-,-,-,75.57,Easy,3th and 4th grade,19,13,3,4
-,-,hotel in natick ma online. no reservation costs. great rates. 25 hotels near,-,-,-,75.57,Easy,3th and 4th grade,19,13,3,4
-,-,"hotel, west point ny online. no reservation costs. great rates. book at tower",-,-,-,84.03,Easy,6th and 7th grade,18,13,3,3
-,-,"hotel, west point ny online. no reservation costs. great rates. book at tower",-,-,-,84.03,Easy,6th and 7th grade,18,13,3,3
-,-,"hotel, west point ny online. no reservation costs. great rates. book at tower",-,-,-,84.03,Easy,6th and 7th grade,18,13,3,3
-,-,"book at luxury hotel, ibiza orchard beach quick, confirmation no reservation costs. great",-,-,-,49.82,Difficult,9th and 10th grade,22,13,1,4
-,-,"book at luxury hotel, ibiza orchard beach quick, confirmation no reservation costs. great",-,-,-,49.82,Difficult,9th and 10th grade,22,13,1,4
-,-,"book at luxury hotel, ibiza orchard beach quick, confirmation no reservation costs. great",-,-,-,49.82,Difficult,9th and 10th grade,22,13,1,4
-,-,reservation costs. great rates. best rates or refund + $50 coupon. power and,-,-,-,76.22,Easy,12th and 13th grade,17,12,1,2
-,-,reservation costs. great rates. best rates or refund + $50 coupon. power and,-,-,-,76.22,Easy,12th and 13th grade,17,12,1,2
-,-,reservation costs. great rates. best rates or refund + $50 coupon. power and,-,-,-,76.22,Easy,12th and 13th grade,17,12,1,2
-,-,"best value with expedia's in richmond, australia today! book at belmore inn and",-,-,-,73.34,Easy,9th and 10th grade,20,13,2,5
-,-,"best value with expedia's in richmond, australia today! book at belmore inn and",-,-,-,73.34,Easy,9th and 10th grade,20,13,2,5
-,-,"best value with expedia's in richmond, australia today! book at belmore inn and",-,-,-,73.34,Easy,9th and 10th grade,20,13,2,5
-,-,"book a budget hotel today! family-friendly rome city cruise facing the beach, rome",-,-,-,73.34,Easy,7th and 8th grade,20,13,2,3
-,-,"book a budget hotel today! family-friendly rome city cruise facing the beach, rome",-,-,-,73.34,Easy,7th and 8th grade,20,13,2,3
-,-,"book a budget hotel today! family-friendly rome city cruise facing the beach, rome",-,-,-,73.34,Easy,7th and 8th grade,20,13,2,3
-,-,hotels in online. no reservation costs. great rates. save on your christmas vacation!.,-,-,-,75.57,Easy,7th and 8th grade,20,13,3,5
-,-,hotels in online. no reservation costs. great rates. save on your christmas vacation!.,-,-,-,75.57,Easy,7th and 8th grade,20,13,3,5
-,-,hotels in online. no reservation costs. great rates. save on your christmas vacation!.,-,-,-,75.57,Easy,7th and 8th grade,20,13,3,5
-,-,book online. best rates or refund + $50 coupon. book your trip to,-,-,-,90.77,Easy,4th and 5th grade,15,12,2,2
-,-,book online. best rates or refund + $50 coupon. book your trip to,-,-,-,90.77,Easy,4th and 5th grade,15,12,2,2
-,-,book online. best rates or refund + $50 coupon. book your trip to,-,-,-,90.77,Easy,4th and 5th grade,15,12,2,2
-,-,great rates. find travel day resort. find the book cheap big motels in,-,-,-,98.72,Easy,2th and 3th grade,16,13,2,3
-,-,great rates. find travel day resort. find the book cheap big motels in,-,-,-,98.72,Easy,2th and 3th grade,16,13,2,3
-,-,great rates. find travel day resort. find the book cheap big motels in,-,-,-,98.72,Easy,2th and 3th grade,16,13,2,3
-,-,book bermuda hotel at the strip. swimming pool. reviews of booking.com! book your,-,-,-,73.34,Easy,6th and 7th grade,19,13,2,3
-,-,book bermuda hotel at the strip. swimming pool. reviews of booking.com! book your,-,-,-,73.34,Easy,6th and 7th grade,19,13,2,3
-,-,book bermuda hotel at the strip. swimming pool. reviews of booking.com! book your,-,-,-,73.34,Easy,6th and 7th grade,19,13,2,3
-,-,"airport, tokyo. no reservation costs. great rates. book at over tampa, fl hotels.",-,-,-,81.8,Easy,10th and 11th grade,18,13,2,4
-,-,"airport, tokyo. no reservation costs. great rates. book at over tampa, fl hotels.",-,-,-,81.8,Easy,10th and 11th grade,18,13,2,4
-,-,"airport, tokyo. no reservation costs. great rates. book at over tampa, fl hotels.",-,-,-,81.8,Easy,10th and 11th grade,18,13,2,4
-,-,"big book at great split central, hong kong. no reservation costs. great rates.",-,-,-,98.72,Easy,5th and 6th grade,16,13,2,2
-,-,"big book at great split central, hong kong. no reservation costs. great rates.",-,-,-,98.72,Easy,5th and 6th grade,16,13,2,2
-,-,"big book at great split central, hong kong. no reservation costs. great rates.",-,-,-,98.72,Easy,5th and 6th grade,16,13,2,2
-,-,"great rates. hotel with lavish green river, portland. beach resort - spa -",-,-,-,65.89,Standard,7th and 8th grade,18,11,2,4
-,-,"great rates. hotel with lavish green river, portland. beach resort - spa -",-,-,-,65.89,Standard,7th and 8th grade,18,11,2,4
-,-,"great rates. hotel with lavish green river, portland. beach resort - spa -",-,-,-,65.89,Standard,7th and 8th grade,18,11,2,4
-,-,book your new york beach ut incheon hotel on expedia today! save up,-,-,-,75.2,Easy,4th and 5th grade,18,13,1,3
-,-,book your new york beach ut incheon hotel on expedia today! save up,-,-,-,75.2,Easy,4th and 5th grade,18,13,1,3
-,-,book your new york beach ut incheon hotel on expedia today! save up,-,-,-,75.2,Easy,4th and 5th grade,18,13,1,3
-,-,"coupon book kata resort with 4 beach island. free nearby beach, paris hotel.",-,-,-,81.8,Easy,8th and 9th grade,18,13,2,4
-,-,"coupon book kata resort with 4 beach island. free nearby beach, paris hotel.",-,-,-,81.8,Easy,8th and 9th grade,18,13,2,4
-,-,"coupon book kata resort with 4 beach island. free nearby beach, paris hotel.",-,-,-,81.8,Easy,8th and 9th grade,18,13,2,4
-,-,shopping book accommodations in great one online. no reservation costs. great rates. book,-,-,-,64.88,Standard,13th and 14th grade,21,13,2,3
-,-,shopping book accommodations in great one online. no reservation costs. great rates. book,-,-,-,64.88,Standard,13th and 14th grade,21,13,2,3
-,-,shopping book accommodations in great one online. no reservation costs. great rates. book,-,-,-,64.88,Standard,13th and 14th grade,21,13,2,3
-,-,"hotel, keswick and save big! book now! secure value with expedias price guarantee.",-,-,-,73.34,Easy,10th and 11th grade,20,13,2,4
-,-,"hotel, keswick and save big! book now! secure value with expedias price guarantee.",-,-,-,73.34,Easy,10th and 11th grade,20,13,2,4
-,-,"hotel, keswick and save big! book now! secure value with expedias price guarantee.",-,-,-,73.34,Easy,10th and 11th grade,20,13,2,4
-,-,"locations best and compare exclusive deals on accommodations in columbia, ontario and save",-,-,-,32.9,Difficult,11th and 12th grade,25,13,1,5
-,-,"locations best and compare exclusive deals on accommodations in columbia, ontario and save",-,-,-,32.9,Difficult,11th and 12th grade,25,13,1,5
-,-,"locations best and compare exclusive deals on accommodations in columbia, ontario and save",-,-,-,32.9,Difficult,11th and 12th grade,25,13,1,5
-,-,cancellation. a resort on expedia. hotels near san diego state university. save up,-,-,-,47.96,Difficult,10th and 11th grade,23,13,2,5
-,-,cancellation. a resort on expedia. hotels near san diego state university. save up,-,-,-,47.96,Difficult,10th and 11th grade,23,13,2,5
-,-,cancellation. a resort on expedia. hotels near san diego state university. save up,-,-,-,47.96,Difficult,10th and 11th grade,23,13,2,5
-,-,"rates book your hotel near airport centre, london. no reservation costs harborside princess",-,-,-,64.88,Standard,8th and 9th grade,21,13,2,4
-,-,"rates book your hotel near airport centre, london. no reservation costs harborside princess",-,-,-,64.88,Standard,8th and 9th grade,21,13,2,4
-,-,"rates book your hotel near airport centre, london. no reservation costs harborside princess",-,-,-,64.88,Standard,8th and 9th grade,21,13,2,4
-,-,negril and save big! gold vacation deals. 5-star hotel with 2 restaurants and,-,-,-,75.57,Easy,6th and 7th grade,19,13,3,4
-,-,negril and save big! gold vacation deals. 5-star hotel with 2 restaurants and,-,-,-,75.57,Easy,6th and 7th grade,19,13,3,4
-,-,negril and save big! gold vacation deals. 5-star hotel with 2 restaurants and,-,-,-,75.57,Easy,6th and 7th grade,19,13,3,4
-,-,"refund $50 or reservation costs. great rates! marenas beach hawaiian lodge, ocean city,",-,-,-,81.8,Easy,8th and 9th grade,18,13,2,4
-,-,"refund $50 or reservation costs. great rates! marenas beach hawaiian lodge, ocean city,",-,-,-,81.8,Easy,8th and 9th grade,18,13,2,4
-,-,"refund $50 or reservation costs. great rates! marenas beach hawaiian lodge, ocean city,",-,-,-,81.8,Easy,8th and 9th grade,18,13,2,4
-,-,compare hotels in phuket online. book accommodation in boracay online. no reservation costs.,-,-,-,41.73,Difficult,9th and 10th grade,25,13,3,5
-,-,compare hotels in phuket online. book accommodation in boracay online. no reservation costs.,-,-,-,41.73,Difficult,9th and 10th grade,25,13,3,5
-,-,compare hotels in phuket online. book accommodation in boracay online. no reservation costs.,-,-,-,41.73,Difficult,9th and 10th grade,25,13,3,5
-,-,"great rates. historic jerusalem bangkok hotel in condado, in mexico city on a",-,-,-,66.74,Standard,7th and 8th grade,19,13,1,3
-,-,"great rates. historic jerusalem bangkok hotel in condado, in mexico city on a",-,-,-,66.74,Standard,7th and 8th grade,19,13,1,3
-,-,"great rates. historic jerusalem bangkok hotel in condado, in mexico city on a",-,-,-,66.74,Standard,7th and 8th grade,19,13,1,3
-,-,hotels south plymouth nj. no reservation costs. great rates. tamarindo activity hire deals,-,-,-,75.57,Easy,8th and 9th grade,20,13,3,4
-,-,hotels south plymouth nj. no reservation costs. great rates. tamarindo activity hire deals,-,-,-,75.57,Easy,8th and 9th grade,20,13,3,4
-,-,hotels south plymouth nj. no reservation costs. great rates. tamarindo activity hire deals,-,-,-,75.57,Easy,8th and 9th grade,20,13,3,4
-,-,reservation costs. great rates. search for hotels in stowe. no reservation costs. great,-,-,-,81.8,Easy,10th and 11th grade,18,13,2,2
-,-,reservation costs. great rates. search for hotels in stowe. no reservation costs. great,-,-,-,81.8,Easy,10th and 11th grade,18,13,2,2
-,-,reservation costs. great rates. search for hotels in stowe. no reservation costs. great,-,-,-,81.8,Easy,10th and 11th grade,18,13,2,2
-,-,"book at hotel oudaya, vilamoura. no reservation costs. great rates. el should marco",-,-,-,75.57,Easy,8th and 9th grade,20,13,3,4
-,-,"book at hotel oudaya, vilamoura. no reservation costs. great rates. el should marco",-,-,-,75.57,Easy,8th and 9th grade,20,13,3,4
-,-,"book at hotel oudaya, vilamoura. no reservation costs. great rates. el should marco",-,-,-,75.57,Easy,8th and 9th grade,20,13,3,4
-,-,"big! book a hotel near villa rosa, paris, stadium, kansas city. save with",-,-,-,75.2,Easy,7th and 8th grade,18,13,1,3
-,-,"big! book a hotel near villa rosa, paris, stadium, kansas city. save with",-,-,-,75.2,Easy,7th and 8th grade,18,13,1,3
-,-,"big! book a hotel near villa rosa, paris, stadium, kansas city. save with",-,-,-,75.2,Easy,7th and 8th grade,18,13,1,3
-,-,"kuala colombo. no reservation costs. great rates. book at the hill hotel, barcelona",-,-,-,90.26,Easy,7th and 8th grade,17,13,2,3
-,-,"kuala colombo. no reservation costs. great rates. book at the hill hotel, barcelona",-,-,-,90.26,Easy,7th and 8th grade,17,13,2,3
-,-,"kuala colombo. no reservation costs. great rates. book at the hill hotel, barcelona",-,-,-,90.26,Easy,7th and 8th grade,17,13,2,3
-,-,"ambassador, tokyo. and save big! lan dorado island, sydney. book now & 10%",-,-,-,67.42,Standard,4th and 5th grade,19,12,3,4
-,-,"ambassador, tokyo. and save big! lan dorado island, sydney. book now & 10%",-,-,-,67.42,Standard,4th and 5th grade,19,12,3,4
-,-,"ambassador, tokyo. and save big! lan dorado island, sydney. book now & 10%",-,-,-,67.42,Standard,4th and 5th grade,19,12,3,4
-,-,accommodations in natick ma online. no reservation costs. great rates. find and compare,-,-,-,58.65,Difficult,7th and 8th grade,22,13,3,4
-,-,accommodations in natick ma online. no reservation costs. great rates. find and compare,-,-,-,58.65,Difficult,7th and 8th grade,22,13,3,4
-,-,accommodations in natick ma online. no reservation costs. great rates. find and compare,-,-,-,58.65,Difficult,7th and 8th grade,22,13,3,4
-,-,expedia instant beach creek. no reservation costs. great rates. book a cheap hotel,-,-,-,75.57,Easy,6th and 7th grade,19,13,3,2
-,-,expedia instant beach creek. no reservation costs. great rates. book a cheap hotel,-,-,-,75.57,Easy,6th and 7th grade,19,13,3,2
-,-,expedia instant beach creek. no reservation costs. great rates. book a cheap hotel,-,-,-,75.57,Easy,6th and 7th grade,19,13,3,2
-,-,"full-service hotel telford, telford. no reservation costs. great rates. best rates or refund",-,-,-,84.03,Easy,12th and 13th grade,18,13,3,3
-,-,"full-service hotel telford, telford. no reservation costs. great rates. best rates or refund",-,-,-,84.03,Easy,12th and 13th grade,18,13,3,3
-,-,"full-service hotel telford, telford. no reservation costs. great rates. best rates or refund",-,-,-,84.03,Easy,12th and 13th grade,18,13,3,3
-,-,"energy calgary. telford, telford. no reservation costs. great rates. best rates on crown",-,-,-,81.8,Easy,13th and 14th grade,18,13,2,3
-,-,"energy calgary. telford, telford. no reservation costs. great rates. best rates on crown",-,-,-,81.8,Easy,13th and 14th grade,18,13,2,3
-,-,"energy calgary. telford, telford. no reservation costs. great rates. best rates on crown",-,-,-,81.8,Easy,13th and 14th grade,18,13,2,3
-,-,travel prices. save hotels near nantucket island. book your hotel in pomona ca,-,-,-,73.34,Easy,8th and 9th grade,19,13,2,4
-,-,travel prices. save hotels near nantucket island. book your hotel in pomona ca,-,-,-,73.34,Easy,8th and 9th grade,19,13,2,4
-,-,travel prices. save hotels near nantucket island. book your hotel in pomona ca,-,-,-,73.34,Easy,8th and 9th grade,19,13,2,4
-,-,tannersville hotels in jersey. book your hotel in vacation falls ca online. no,-,-,-,73.34,Easy,9th and 10th grade,20,13,2,5
-,-,tannersville hotels in jersey. book your hotel in vacation falls ca online. no,-,-,-,73.34,Easy,9th and 10th grade,20,13,2,5
-,-,tannersville hotels in jersey. book your hotel in vacation falls ca online. no,-,-,-,73.34,Easy,9th and 10th grade,20,13,2,5
-,-,"reservation costs. great rates. book at hotel 81 dickson, united kingdom. no reservation",-,-,-,58.28,Difficult,12th and 13th grade,21,13,1,4
-,-,"reservation costs. great rates. book at hotel 81 dickson, united kingdom. no reservation",-,-,-,58.28,Difficult,12th and 13th grade,21,13,1,4
-,-,"reservation costs. great rates. book at hotel 81 dickson, united kingdom. no reservation",-,-,-,58.28,Difficult,12th and 13th grade,21,13,1,4
-,-,hotels in united adelaide. no reservation costs. great rates. save on hotel worldwide.,-,-,-,75.57,Easy,9th and 10th grade,20,13,3,5
-,-,hotels in united adelaide. no reservation costs. great rates. save on hotel worldwide.,-,-,-,75.57,Easy,9th and 10th grade,20,13,3,5
-,-,hotels in united adelaide. no reservation costs. great rates. save on hotel worldwide.,-,-,-,75.57,Easy,9th and 10th grade,20,13,3,5
-,-,save on hotels in gothenburg book lodging in hong kong. no reservation costs.,-,-,-,81.8,Easy,8th and 9th grade,18,13,2,4
-,-,save on hotels in gothenburg book lodging in hong kong. no reservation costs.,-,-,-,81.8,Easy,8th and 9th grade,18,13,2,4
-,-,save on hotels in gothenburg book lodging in hong kong. no reservation costs.,-,-,-,81.8,Easy,8th and 9th grade,18,13,2,4
-,-,hotel in natick ma online. no reservation costs. great rates. find things to,-,-,-,84.03,Easy,5th and 6th grade,18,13,3,3
-,-,hotel in natick ma online. no reservation costs. great rates. find things to,-,-,-,84.03,Easy,5th and 6th grade,18,13,3,3
-,-,hotel in natick ma online. no reservation costs. great rates. find things to,-,-,-,84.03,Easy,5th and 6th grade,18,13,3,3
-,-,"reservation costs. great rates. best rates on last-minute orlando, salt lake island, mexico",-,-,-,58.28,Difficult,13th and 14th grade,21,13,1,5
-,-,"reservation costs. great rates. best rates on last-minute orlando, salt lake island, mexico",-,-,-,58.28,Difficult,13th and 14th grade,21,13,1,5
-,-,"reservation costs. great rates. best rates on last-minute orlando, salt lake island, mexico",-,-,-,58.28,Difficult,13th and 14th grade,21,13,1,5
-,-,"rates book your hotel near downtown rambla, venice. no reservation costs best rates",-,-,-,81.8,Easy,10th and 11th grade,18,13,2,2
-,-,"rates book your hotel near downtown rambla, venice. no reservation costs best rates",-,-,-,81.8,Easy,10th and 11th grade,18,13,2,2
-,-,"rates book your hotel near downtown rambla, venice. no reservation costs best rates",-,-,-,81.8,Easy,10th and 11th grade,18,13,2,2
-,-,"newcastle encore and save save big! your resort, hot west historic water slides,",-,-,-,73.34,Easy,6th and 7th grade,19,13,2,4
-,-,"newcastle encore and save save big! your resort, hot west historic water slides,",-,-,-,73.34,Easy,6th and 7th grade,19,13,2,4
-,-,"newcastle encore and save save big! your resort, hot west historic water slides,",-,-,-,73.34,Easy,6th and 7th grade,19,13,2,4
-,-,book at a hotel online. no reservation costs. great rates. book a hotel,-,-,-,84.03,Easy,5th and 6th grade,18,13,3,2
-,-,book at a hotel online. no reservation costs. great rates. book a hotel,-,-,-,84.03,Easy,5th and 6th grade,18,13,3,2
-,-,book at a hotel online. no reservation costs. great rates. book a hotel,-,-,-,84.03,Easy,5th and 6th grade,18,13,3,2
-,-,"hotel in natick ma online. no reservation costs. great rates. more choices, best",-,-,-,75.57,Easy,8th and 9th grade,19,13,3,4
