seed_text(prime_text),generated _text,perplexity,random,,
big,"big costs. great rates. book lombardy hotel in kuala lumpur, playa del carmen,",151.1942024,0.906179929,,
villa,villa with 3 restaurants and marina. near las edmonton and save with expedia's,326.770402,0.292685509,,
in,"in columbus, in. no reservation costs. great rates. book a motel in columbus,",26.89284824,0.080657117,,
freeport.,freeport. great rates. book your hotel playa saint helier jersey. no reservation costs.,105.766154,0.570025373,,
reservation,"reservation costs. great rates. book at ye olde bulls sun, whitby. no reservation",189.2185731,0.064195634,,
best prices,best prices accommodation in ouray. no reservation costs. great rates. book accommodation in tioman,69.60678402,0.111331352,,
"rutherford,","rutherford, congres, fredericksburg. king jazz and pasadena. no . great rates. the oceanic",155.5505712,0.370781899,,
costs.,"costs. great rates. book at ye royal boutique hotel, colombo. no reservation costs.",104.4434972,0.821709777,,
reservation,"reservation costs. great rates. book at st. palma hotel, mont-tremblant. no reservation costs.",70.73974715,0.984791475,,
"hotel,","hotel, gulfport, harbor river palms fl. no reservation costs. great rates. book a",96.71117361,0.85409601,,
hull,hull hotel in big pine lodge online. book a hotel room in arlington,110.9711631,0.492663193,,
reservation,"reservation costs. great rates. book at st raphael resort, limassol. no reservation costs.",81.99486099,0.569599932,,
rates.,"rates. book at ez 8 motel palmdale, palmdale. no reservation costs. great rates.",117.7118997,0.575182439,,
with,"with mogan star, savannah. breakfast and and shopping, spa, hoi an. no reservation",172.3235611,0.094457698,,
big!,"big! arizona orleans, clearwater, jacksonville quebec. city. great rates. book your kensington, london.",116.3568512,0.921070292,,
save,save on hotels in downtown washington dc. best rates or refund + $50,62.49013613,0.861993728,,
book,book accommodation on loch chica resort atlanta. no reservation costs. great rates. book,95.14465294,0.927140873,,
"palace,","palace, gulfport, ms and save on hotels in dodge city, south africa save",235.7704284,0.597360647,,
"hotel,","hotel, gulfport, on your hawaii and & more! book on expedia today &",50.48271605,0.532568754,,
negril,"negril & save. discounts rates. hotel central, kuala lumpur. get instant confirmation. great",222.1709374,0.298135846,,
japan.,japan. great rates. book a hostel in mombasa. no reservation costs. great rates.,40.93636362,0.639546176,,
hotels.,"hotels. no reservation costs. great rates. book your perfect hotel praha, prague. no",35.12205,0.441865057,,
free,free capitol. rates & breakfast tour. secure value & expedia's price guarantee. save,131.5281226,0.227416219,,
hotel,hotel in napa valley wine country. no reservation costs. great rates. book your,78.18667591,0.21728463,,
book,"book casino hotels in biloxi, ms on expedia! best rates or refund +",40.1059097,0.528612704,,
expedia,expedia no reservation costs. great rates. book the commons hotel hollywood port en,170.1867037,0.322629811,,
stay,stay in pine charles key hoi newport. no reservation costs. great rates. book,195.841519,0.514645019,,
save,save on hotels in downtown washington dc. best rates or refund + $50,47.87246378,0.355820381,,
no,no reservation costs. great rates. book a b&b in castle au lac online.,147.0343735,0.651605954,,
vietnam,"vietnam book hotel in pigeon spain. book a b&b in yorkshire bar, copenhagen.",140.2642375,0.040260521,,
kangaroo,"kangaroo food biloxi, pick biloxi. on hi & book & save find &",297.2727167,0.70718192,,
cost,cost house in estero desert ny. book online. no reservation costs. great rates.,108.4715915,0.610682274,,
compare,"compare exclusive deals on hotels in wellington, colorado and save big! find and",53.71174833,0.820853562,,
all,all maingate haven. no reservation costs. great rates. book your santa monica hotel,69.15491841,0.439987031,,
georges,georges a hotel in saint john state rica. save with expedia's price guarantee.,116.4900512,0.726517851,,
great,great rates. book at fuengirola beach hotel best price guarantee! book at 3100,103.5894624,0.837209657,,
dublin,dublin portmeirion. with guarantee sound for ottawa airport amusement park. book here! find,411.1985046,0.547212476,,
hotels.,hotels. save on hotels in dunedin ca centre. save big on hotels in,72.67450862,0.861907056,,
book,"book casino hotels, las do lago. no reservation costs. great rates. book a",53.90774896,0.388518015,,
a,a hotel in port of spain. save with expedia's price guarantee. book a,53.3714397,0.031306002,,
find,find all hotels. hotels. book great hotels. book an apartment in crete. no,41.75942486,0.405752926,,
site!,site! plan your next trip with expedia. best rates on hotel cambodiana. plan,74.99187957,0.172940627,,
great,great rates. book a hotel in montego bay lowest price guarantee! book a,69.80679798,0.531773936,,
in,"in gulfport, ms and save big! find and compare exclusive deals on hotels",66.67577858,0.368836543,,
costs.,costs. great rates. book at nusa gev suites resort gourmet all parking. adults-only,508.3786617,0.179522952,,
guarantee,guarantee no reservation costs. great rates. book your hotel in santa ponsa online.,63.65041481,0.518816269,,
hotel,hotel in napa valley wine country. no reservation costs. great rates. book your,98.79143897,0.913812644,,
rates,rates from top brands. car rental kent. compare low rates from top brands.,266.6609907,0.733280435,,
a,a hotel in port of spain. save with expedia's price guarantee. book a,43.96710299,0.151662763,,
reservation,"reservation costs. great rates. book at da sea hotel, calistoga. no reservation costs.",56.59737369,0.824993179,,
rates.,rates. book accommodation in st andrews. no reservation costs. great rates. book accommodation,49.60641064,0.84034362,,
no,"no reservation costs. great rates. book seoul, kuala angeles hotels, usa. no reservation",56.57879482,0.712252328,,
newcastle,"newcastle cairo, online. no reservation costs. great rates. book your hotel in the",40.08594941,0.133841574,,
great,"great rates. book at austria vacation suite - dubai, dubai. no reservation costs.",107.8884581,0.112145042,,
hotels,"hotels in orofino, idaho and save big! find and compare exclusive deals on",85.15026132,0.729898554,,
price,price pikes tiberias. resort nearby. save hotels in high harbor or save big!,165.2057531,0.449404566,,
davids,davids hotels in porto de torremolinos. hotel online. no reservation costs. great rates.,77.95472737,0.708504266,,
hotel.,hotel. no reservation costs. great rates. book lodging in haad antonio. no reservation,69.39187962,0.60516478,,
$50,$50 coupon. save on accommodation in istanbul. best rates or refund + $50,119.9496822,0.149531312,,
golden,golden oia bear family new family west hotel unbeatable vegas dominican car views.,1915.967398,0.26944476,,
no,no reservation costs. great rates. book a b&b in white rock online. no,60.16082381,0.120955857,,
in,"in columbus, in. no reservation costs. great rates. book a motel in columbus,",48.31041895,0.532217255,,
rates.,"rates. book at ez 8 motel palmdale, palmdale. no reservation costs. great rates.",121.7676959,0.560610101,,
flight,"flight inn hotels in downtown ottawa, austin. no reservation costs. great rates. book",53.53577906,0.479275468,,
rates,rates from top brands. car rental kent. compare low rates from top brands.,329.2043296,0.330714572,,
4-star,"4-star doha. swana, tossa rica florida family south lake blackpool. no reservation costs.",502.0153741,0.309302999,,
great,"great rates. book at hotel ronda lesseps, barcelona. no reservation costs. great rates.",39.42443373,0.261471815,,
no,no reservation costs. great rates. book a b&b in ocean city online. no,20.7941879,0.338454195,,
reservation,"reservation costs. great rates. book at saint michaels suite hotel, edmonton. no reservation",130.2478348,0.264780164,,
online.,online. no reservation costs. great rates. choose deals. great rates. book accommodation in,47.41505546,0.838509342,,
in,"in columbus, in. no reservation costs. great rates. book a motel in columbus,",45.26465428,0.060525574,,
energy,"energy germany. quick, plan & and caicos niagara of sedona. plan your next",255.1063019,0.249540443,,
"choices,","choices, seabourne multiple plan and for your philadelphia on madrid. plan the site",315.8113041,0.059182039,,
great,"great rates. book at hotel ronda lesseps, barcelona. no reservation costs. great rates.",68.93093473,0.205840313,,
and,and today. deals on amsterdam airport hotels. expedia best price guarantee. hotels by,95.99848721,0.048253222,,
best,"best prices, trusted. book a hotel in the bahamas more choices, best prices,",70.68006795,0.880154889,,
costs.,"costs. great rates. book a hostel in puerto viejo, costa rica. no reservation",51.85473979,0.068509238,,
accommodation,"accommodation in la aruba book key orlando hotels. quick, easy & secure booking.",277.5645379,0.395695599,,
tannersville,tannersville gardens. no reservation costs. great rates. new orleans. book accommodation in saint,104.6406948,0.181102504,,
reservation,"reservation costs. great rates. book at punta plata resort, st. albert. no reservation",68.38098742,0.790280783,,
with,with tennis & book an to expedia.com find & compare hotels & save,186.0735865,0.613391975,,
london,london with expedia. great rates book on holiday at expedia! find cheap a,33.57464649,0.440844763,,
"choices,","choices, welcome texas hidden airport breakfast breakfast near killington palace. boutique hotel in",548.4542513,0.701339116,,
coupon,coupon & $25 rooms & save with expedia. find & book the perfect,121.706976,0.537971847,,
on,on hotels in bangkok on expedia. book today! find and compare exclusive deals,34.48145113,0.1718472,,
at,"at living cat's hostel, madrid. no reservation costs. great rates. book a bed",63.27155576,0.683983216,,
"prices,","prices, pine bungalows, jasper. no reservation costs. great rates. book at evripides hotel,",108.5217113,0.921603455,,
rates.,rates. book accommodation in st andrews. no reservation costs. great rates. book accommodation,50.73456209,0.235278143,,
"choices,","choices, vik multiple continental . best best costs. best rates. book your hotel",92.48583249,0.859240512,,
your,your hotel in s'illot online book your hotel in sa pa online. no,110.0661747,0.625600776,,
your,your hotel in s'illot online book your hotel in sa pa online. no,113.7432549,0.530731409,,
best,"best prices, trusted. book a hotel in puerto rico island. more choices, best",60.28976763,0.996183988,,
a,a hotel in port of road. save with expedia's price guarantee. save on,42.20450102,0.226297465,,
and,and in hot strip. no reservation costs. great rates. book your resort in,34.79690029,0.908506894,,
shopping,shopping & best rates or refund + $50 coupon. book your all inclusive,114.99918,0.766878617,,
book,"book accommodation in bristol. no reservation costs. great rates. book accommodation in brittany,",27.7521477,0.470774794,,
costs.,"costs. great rates. book at captain's house inn, chatham. no reservation costs. great",31.04847775,0.059563153,,
central,"central cranbrook. boracay, guarantee. secure value car and save! book accommodations in omaha,",216.3285914,0.092978348,,
ambassador,"ambassador & spa, portugal. quick, easy & secure value with expedias price guarantee.",194.6845422,0.52828096,,
save,"save on hotels in westminster, dallas. secure value with and save on hotels",29.71664581,0.981196007,,
and,and in. hot harbor spirit beach. best rates or refund + $50 coupon.,419.8706807,0.604423168,,
costs.,costs. great rates. book a hostel in mombasa. no reservation costs. great rates.,47.34186966,0.367248667,,
packages.,"packages. save. save fees. save costs on discovery cove hotel, imerovigli. no reservation",102.0223101,0.343793966,,
book,"book a hotel near faneuil hall, boston. save up to 50% on your",118.2437119,0.598884284,,
compare,"compare exclusive deals on hotels in wellington, colorado and save big! find and",60.73768111,0.735421638,,
great,great rates. book a lodge in reno online. no reservation costs. great rates.,57.44902097,0.592038093,,
carnegie mellon university,"carnegie mellon university atlanta a spa, angeles, singapore. no reservation costs. great rates. st. castle",359.5411304,0.400716474,,
great,great rates. book a hotel in long beach book a b&b near central,31.99019175,0.232991141,,
texas,texas hamilton hotels. brewery. french-style hotel 380 hotels in penang online save with,476.5885534,0.018235168,,
save,save on hotels in downtown washington dc. best rates or refund + $50,46.87135259,0.521471088,,
panoramic,"panoramic rockresort, columbus, 35 35 35 3 travel discounts nearby. hotels on your",595.3154536,0.207539925,,
"suites,","suites, banks. no reservation costs. great rates. book your venice, san francisco fl",58.27996744,0.543263714,,
and,and excursion exclusive exclusive deals on luxury hotels in fiji and save big!,135.0723506,0.591082922,,
find,"find great a hotel in downtown los jose all phuket, thailand hotels. no",102.4373559,0.084727883,,
secure,"secure kuhn resort with views, las swimming spa. no reservation costs. great rates.",239.7317128,0.576753596,,
islands.,"islands. save on jupiter hotel, dublin. no reservation costs. great rates. expedia guarantees",59.2169811,0.329418832,,
this,this pattaya hotel. reviews & photos of sawasdee. great rates on this penang,427.6978535,0.075641598,,
+,+ $50 coupon. book your hoi an hotel today! best rates or refund,109.3624957,0.542423815,,
great,"great rates. book at hotel ronda lesseps, barcelona. no reservation costs. great rates.",39.64561436,0.318816186,,
costs.,costs. great rates. book a hostel in mombasa. no reservation costs. great rates.,42.47078587,0.871214386,,
coupon.,coupon. chica. book your hotel in sathorn on your online book a hotel,51.53735248,0.100771006,,
book,book accommodation in berkeley village. no reservation costs. great rates. book accommodation in,54.93131751,0.435996929,,
"ambassador,","ambassador, gulfport, on boston hotel. book a hotel in cali book a hotel",81.47161467,0.711045604,,
rates.,rates. book your hotel in kaunas online. no reservation costs. great rates. book,50.41506184,0.371845325,,
trusted.,trusted. start guarantee! no reservation costs. great rates. book a resort in long,101.7134259,0.016861028,,
and,and in. hot springs. no reservation costs. great rates. book your hotel in,53.38921845,0.470275011,,
motel,motel with 3 restaurants and full-service spa. tennis on site. family-friendly resort near,302.3783228,0.514490305,,
thera,"thera conroe, between between executives fishermans potos. campground, diamond, augustus resort next and",2223.159984,0.00499253,,
international,"international bungalows, plata, caribe douglas. no reservation costs. great rates. new orleans. book",130.281203,0.703260167,,
rarotonga.,"rarotonga. book your hotel in rancho street, duluth. save with expedia's price guarantee.",91.65324371,0.923405614,,
hotel,hotel in napa valley wine country. no reservation costs. great rates. book your,94.88115,0.498705961,,
no,no reservation costs. great rates. book your hotel in south wharf in online.,41.38404823,0.497428669,,
rates,rates from top brands. car rental kent. compare low rates from top brands.,324.0104463,0.187909628,,
your,your hotel in s'illot online book your hotel in sa pa online. no,84.88546511,0.273790041,,
"airport,","airport, sedona, ohio. blackpool. garden instant or. no reservation costs. great rates. san",77.73936609,0.622234765,,
great,great rates. book a holiday holiday in cancn online. best price or a,60.74227853,0.218734592,,
on,"on hotels in poros, greece save big on hotels in puerto rico. book",70.90684479,0.298933628,,
"prices,","prices, pine bungalows, douglas. no reservation costs. great rates. book at the rookery,",75.79320568,0.378900899,,
hotel,hotel in napa valley wine country. no reservation costs. great rates. book your,94.63267413,0.199325046,,
rates.,rates. book your hotel in kaunas online. no reservation costs. great rates. book,44.81336014,0.50907572,,
refund,refund hotel in mykonos africa. save on hotels in el lipe online with,115.8369795,0.928129002,,
b&b,b&b - idaho and big view view view room view a at a,329.5632683,0.138984166,,
reservation,"reservation costs. great rates. book at st raphael resort, limassol. no reservation costs.",94.87776028,0.37617239,,
to,to 50% on your reservation. book a hotel near stratford a your hotel,39.04975591,0.634751141,,
hotel,hotel in napa valley wine country. no reservation costs. great rates. book your,97.90496424,0.890712382,,
book,"book accommodation in bristol. no reservation costs. great rates. book accommodation in brittany,",29.9147762,0.968205499,,
book,"book a hotel near faneuil hall, boston. save up to 50% on your",60.11155692,0.794237975,,
a,a hotel in port of spain. save with expedia's price guarantee. book a,68.5277384,0.897529504,,
big,big a hotel in angeles club online. no reservation costs. great rates. book,39.28105043,0.512905519,,
great,"great rates. book at hotel ronda lesseps, barcelona. no reservation costs. great rates.",46.90546642,0.95106417,,
no,no reservation costs. great rates. book a b&b in san jose online. no,37.85756095,0.33036916,,
with,"with tvs. horn hi- scottsdale, fairview crowne rose kennebunkport twentynine lane, living tusitala",9807.00152,0.307521373,,
great,"great rates. book at hotel praha, amsterdam. no reservation costs. great rates. book",26.40230412,0.154964352,,
reservation.,"reservation. reservation costs. great rates. st. george hotel chicago, sacramento. no reservation costs.",80.003766,0.900634881,,
rates.,"rates. book at hotel bon sol resort & spa, illetas. no reservation costs.",103.6667229,0.722286818,,
"portofino,","portofino, phitsanulok montral your bali vacation deals. book and save. best rates or",163.2409661,0.10103281,,
manila,manila hotels. no reservation costs! instant confirmation. book your hotel in kansas city,53.56733412,0.739611469,,
in,"in columbus, in. no reservation costs. great rates. book a motel in columbus,",30.04750933,0.714479578,,
