id,seed_text(prime_text),generated_text,perplexity,readability_(0-10),relevance_(R/I),difficulty_score,difficulty_label,school_grade_level,#_syllables,#_words,#_sentences,#_difficult_words,,,
-,-,"package blooks, carmen. best price guarantee.book your hotel in hong kongau,",-,-,-,67.72,Standard,8th and 9th grade,18,11,3,3,,,
-,-,"hotels. no reservation contiaf oftigann londorne mallester, helenave. get ins",-,-,-,35.95,Difficult,13th and 14th grade,19,10,1,6,,,
-,-,big!3-star griga hotel to the fountart. skivings pines on singer resort. g,-,-,-,73.85,Fairly Easy,10th and 11th grade,18,12,2,5,,,
-,-,hotels & vivre-delporth. no reservation costs. great rates.book at grave hot,-,-,-,57.94,Fairly Difficult,9th and 10th grade,17,10,2,4,,,
-,-,refund book your hotel in salishoos casifaxamoury onlinebook a tour in washi,-,-,-,50.84,Fairly Difficult,9th and 10th grade,20,12,1,4,,,
-,-,greatimup b&b. free 4didaya resorts.ne reservation costs. great rates for c,-,-,-,76.18,Fairly Easy,7th and 8th grade,16,11,3,3,,,
-,-,save ve veb alg-pt. rey avartide.book a hotel near grand hotel w/ packages,-,-,-,73.34,Fairly Easy,7th and 8th grade,19,13,2,3,,,
-,-,rates. nor reservation costs. great rates!best rates or refund + $50 coupon.,-,-,-,74.35,Fairly Easy,8th and 9th grade,16,11,2,3,,,
-,-,costarno booking. save big on hotels in tokyo. get nour hotel in lake trai,-,-,-,98.21,Very Easy,2th and 3th grade,17,14,2,2,,,
-,-,"book accomire in/stic gires.book at imish guest au barcelonam bergen, miss",-,-,-,82.81,Easy,12th and 13th grade,15,11,2,4,,,
-,-,cheapenhest. no reservation costs. great rates.book your hotel in coral mac,-,-,-,74.35,Fairly Easy,8th and 9th grade,17,11,2,3,,,
-,-,"online. zook, maras and access near bidgegesa, savannah. best price guarantee",-,-,-,65.89,Standard,9th and 10th grade,18,11,2,5,,,
-,-,site! not reservation costs. great rates.best rates on the village hotel oo,-,-,-,82.31,Easy,6th and 7th grade,17,12,2,2,,,
-,-,hotels yomilfin tivilil. no reservation costs. great rates.book at hotel po,-,-,-,76.18,Fairly Easy,9th and 10th grade,17,11,3,4,,,
-,-,reservation costsbeat rates on jahoi all-inclusive. plan your next trip with expe,-,-,-,82.31,Easy,8th and 9th grade,17,12,2,4,,,
-,-,"book accommodation in egie hotel, miami. no reservation costs. great rates",-,-,-,48.97,Difficult,12th and 13th grade,20,11,2,4,,,
-,-,"reservation costs. great rates.book notsa great tokyo, ta and save big!save up to",-,-,-,90.26,Very Easy,1th and 2th grade,17,13,2,3,,,
-,-,hotels & vaudvilibio hotel bedilly asparisside wihmral dinberi center. save,-,-,-,11.58,Very Confusing,13th and 14th grade,20,9,1,7,,,
-,-,"rates yood a risbane hotel today!book a motel in fort maris, francisco. no",-,-,-,73.34,Fairly Easy,4th and 5th grade,20,13,2,4,,,
-,-,texasy bld. book luss road aladzesa reago casino.book at allenda weeos over,-,-,-,56.93,Fairly Difficult,6th and 7th grade,20,12,2,5,,,
-,-,"palace, vlanesbest presta bugford hotels.book your hotel in trueth online. no",-,-,-,65.89,Standard,9th and 10th grade,18,11,2,5,,,
-,-,hotels yorpano resert in san firf. no reservation costsbook at silver grand,-,-,-,73.85,Fairly Easy,6th and 7th grade,18,12,2,4,,,
-,-,compares arlino. no reservation costs. great rates.chave on calistic shi reso,-,-,-,57.43,Fairly Difficult,9th and 10th grade,19,11,2,5,,,
-,-,"save v trbperviepo. best price guarantee! breakfast in kaphas ick, venice.",-,-,-,84.64,Easy,6th and 7th grade,15,11,3,2,,,
-,-,great on ldwoods. playa real airport shops!book at eis orlando. no reservat,-,-,-,67.42,Standard,7th and 8th grade,19,12,3,4,,,
-,-,hotels ang bar aad. golfing nearby.find and compare exclusive deals on hotel,-,-,-,65.39,Standard,17th and 18th grade,19,12,2,4,,,
-,-,book accommodation in sixtable eargo. no reservation costs. great rates.fi,-,-,-,49.48,Difficult,11th and 12th grade,18,10,2,4,,,
-,-,"motel clalanda. save on montian ronos hot springs, sales, san francisco. sa",-,-,-,67.76,Standard,9th and 10th grade,18,12,1,4,,,
-,-,international tokyo. best price guarantee!book a hotel near tramacan row all sunsbu,-,-,-,48.47,Difficult,9th and 10th grade,22,12,2,4,,,
-,-,reservation costs. great ratessave with expedia's price guarantee book a packace,-,-,-,51.85,Fairly Difficult,13th and 14th grade,19,11,1,5,,,
-,-,"hotels yorparton, oma, beiro. no reservation costs. great rates.save with e",-,-,-,76.18,Fairly Easy,9th and 10th grade,17,11,3,4,,,
-,-,london on leulu. tennis on angel more. great deals on vacations.lyd-on-fayne,-,-,-,50.8,Fairly Difficult,8th and 9th grade,20,11,3,3,,,
-,-,"bigion. now on gobid's beach, switzer. get instant confirmation.book at a",-,-,-,59.26,Fairly Difficult,7th and 8th grade,19,11,3,3,,,
-,-,"hotel, in paris. no reservation costs. great rates.book a hostel in colorado",-,-,-,75.88,Fairly Easy,6th and 7th grade,18,12,3,5,,,
-,-,"hotels & great rates on sigheise at mighees international pard beach, miami",-,-,-,51.85,Fairly Difficult,8th and 9th grade,19,11,1,3,,,
-,-,book accommodation+ grade island. no reservation costs. great rates.book y,-,-,-,49.48,Difficult,11th and 12th grade,18,10,2,4,,,
-,-,"rates. great rates.dulubla, ohingtons - city motel, south field. no reservat",-,-,-,61.33,Standard,14th and 15th grade,16,10,1,4,,,
-,-,"book a piri, island. no reservation costs. great rates.find and compare ex",-,-,-,84.34,Easy,7th and 8th grade,17,12,3,3,,,
-,-,online.book accommodation in hawtnvil-thipore online. no reservation costs. g,-,-,-,16.15,Very Confusing,12th and 13th grade,20,9,2,5,,,
-,-,"kangaroo% for tho biltier, arch more!book at son riviera beach and pharasering",-,-,-,65.39,Standard,7th and 8th grade,19,12,2,5,,,
-,-,"greatibook your hotel in araing on synerg, malia and save big!book a hostel",-,-,-,73.34,Fairly Easy,4th and 5th grade,19,13,2,4,,,
-,-,"resorts. netnonklands minute hotels.book a b&b in dun anants, london. quick, e",-,-,-,65.39,Standard,7th and 8th grade,19,12,2,4,,,
-,-,all bulo!find and compare exclusive deals on hotels in garseet maru syrey,-,-,-,84.68,Easy,4th and 5th grade,16,12,1,2,,,
-,-,"save v-lbbbon by morgabook at oslo bar hotel, bristed. no reservation cost",-,-,-,65.39,Standard,5th and 6th grade,19,12,2,5,,,
-,-,"book accommodation in booking. no reservation costs.book at balpin hotel,",-,-,-,42.75,Difficult,11th and 12th grade,19,10,3,5,,,
-,-,secures. ne provilly resort & save modebere. book your flight & save more.bo,-,-,-,65.89,Standard,8th and 9th grade,18,11,2,5,,,
-,-,save v-f rotaw-tora. plan your next trip with expedia.best rates or refund,-,-,-,67.42,Standard,7th and 8th grade,19,12,3,3,,,
-,-,"couponfags. book a great vallarta al reden house, dubrovnes. no reservation",-,-,-,68.77,Standard,11th and 12th grade,16,11,1,3,,,
-,-,deals bluspa frente.drlig vere airportfind and compare exclusive deals on h,-,-,-,65.89,Standard,9th and 10th grade,18,11,2,4,,,
-,-,"book andelligg hotel obibi hotel. free bargers sea carmer, gristown. great",-,-,-,74.35,Fairly Easy,12th and 13th grade,17,11,2,4,,,
-,-,"hotel, intel. get instant confirmation.playa montreal hotel, forkel inn & su",-,-,-,24.1,Very Confusing,12th and 13th grade,21,10,2,4,,,
-,-,"great ntar spa bearh wien-ix gry addisseif, fax. get instant confirmation.b",-,-,-,74.35,Fairly Easy,6th and 7th grade,17,11,2,2,,,
-,-,costs. no reservation costs. great rates.book a 5-star hotel in barsonville.,-,-,-,65.89,Standard,9th and 10th grade,18,11,2,4,,,
-,-,book accommodation in bwore. no reservation costs. great rates.more choice,-,-,-,57.94,Fairly Difficult,15th and 16th grade,17,10,2,3,,,
-,-,"save v trve beal! plazati a al haven, barerica.book your hotel in missium",-,-,-,75.57,Fairly Easy,7th and 8th grade,19,13,3,3,,,
-,-,compares and no rese-gutes resvation.best rates or refund + $50 coupon. book,-,-,-,74.35,Fairly Easy,9th and 10th grade,17,11,2,4,,,
-,-,"great great spa scorf, gardens. best price guaranteebest rates on hotel apa",-,-,-,90.77,Very Easy,6th and 7th grade,16,12,2,2,,,
-,-,rates on vacation hotel white-aka airport.save now on your croirs avavidan,-,-,-,65.89,Standard,8th and 9th grade,18,11,2,4,,,
-,-,"bigksat. book cheap grand isabet, katri airport. book noffer, belgiustage",-,-,-,57.94,Fairly Difficult,27th and 28th grade,17,10,2,6,,,
-,-,"hotels in-pang seminyak, bross. no reservation costs. great rates.book at ro",-,-,-,76.18,Fairly Easy,9th and 10th grade,16,11,3,4,,,
-,-,reservation costs. great rates.book your hotel in shellit healdering north. save,-,-,-,68.77,Standard,13th and 14th grade,17,11,1,4,,,
-,-,"book atigic cliogge.book triver inn, isleo, costa save big!inviana car k c",-,-,-,67.42,Standard,7th and 8th grade,19,12,3,5,,,
-,-,"save vqbo $233 hotels.book at reykhave tid and hotel, lagy. no reservation",-,-,-,82.31,Easy,9th and 10th grade,17,12,2,3,,,
-,-,"coupon.houpon, orenter deals at edmonton, london. no reservation costs. great",-,-,-,66.4,Standard,19th and 20th grade,16,10,2,4,,,
-,-,"hotels yorpo hotel, bassa. no reservation costs. great rates.resorts world",-,-,-,49.48,Difficult,11th and 12th grade,18,10,2,6,,,
-,-,"north hotels.book at ceptness reside hotel, san jevenic s on shulbaineburge",-,-,-,60.31,Standard,11th and 12th grade,18,11,1,5,,,
-,-,book accommodation in dumingsing. no reservation costs. great rates.book a,-,-,-,41.02,Difficult,11th and 12th grade,19,10,2,4,,,
-,-,"costs. no hotelybook at ranche, myrtle:burg, seoul. no reservation costs. gr",-,-,-,82.81,Easy,13th and 14th grade,15,11,2,3,,,
-,-,"refund banffer, beniken. no reservation costs. great rates.book a hostel in",-,-,-,76.18,Fairly Easy,10th and 11th grade,17,11,3,5,,,
-,-,book accommodation in georgia.best rates or refund + $50 coupon. avtan pac,-,-,-,57.43,Fairly Difficult,9th and 10th grade,19,11,2,4,,,
-,-,mansions & lood staybook your hotel in cruise stadium ca. save big on tours &,-,-,-,73.34,Fairly Easy,7th and 8th grade,20,13,2,3,,,
-,-,"guarantee! book now!book at tenagego hotel, london. no reservation costs. great",-,-,-,65.89,Standard,10th and 11th grade,18,11,2,5,,,
-,-,hotels. no reservation 2-kland in sedvire casino. no reservation costs. great,-,-,-,57.43,Fairly Difficult,9th and 10th grade,19,11,2,5,,,
-,-,rates. nor reservation costs. great rates!deals on things to do in bhamsterd,-,-,-,82.31,Easy,7th and 8th grade,17,12,2,3,,,
-,-,"georges gpens, fernet more wateridolla. best price guarantee.book at dabit la",-,-,-,67.72,Standard,7th and 8th grade,18,11,3,3,,,
-,-,"choices, thang. no reservation costs. great rates.book at elize, hibe central",-,-,-,74.35,Fairly Easy,9th and 10th grade,16,11,2,4,,,
-,-,"choices, great rates.in-arest galee katu carbarkmarket apartment. best price g",-,-,-,76.59,Fairly Easy,14th and 15th grade,15,10,3,3,,,
-,-,"grand on resorts-nicket kings, kalkip. get instant confirmation.find and co",-,-,-,51.21,Fairly Difficult,6th and 7th grade,18,10,3,2,,,
-,-,great intle no reservation costs. great rates!best rates or refund +$50 cou,-,-,-,82.31,Easy,17th and 18th grade,17,12,2,4,,,
-,-,"costs. not ela-air tageyt hotels. by park garden, mc.hotel devonia hotel, pu",-,-,-,75.88,Fairly Easy,6th and 7th grade,18,12,3,5,,,
-,-,rates. nor reservation costs. great rates!iniro d'onge manuel alasting tago,-,-,-,91.78,Very Easy,11th and 12th grade,13,10,2,2,,,
-,-,"save v trlen attractions.book a villa in woodbun, gift. no reservation cos",-,-,-,67.42,Standard,7th and 8th grade,19,12,3,4,,,
-,-,"shoppington. norre & fajzen, brandonbook a cheap hotel in playa rockves online",-,-,-,51.85,Fairly Difficult,9th and 10th grade,19,11,1,4,,,
-,-,near 5ttorro bostoc hotel boystanah. plan your next trip with expedia.lak,-,-,-,65.89,Standard,8th and 9th grade,18,11,2,3,,,
-,-,"great berseats. plan your trip with expedia.the a prohagston, rip.book grea",-,-,-,82.81,Easy,8th and 9th grade,15,11,2,3,,,
-,-,"rates yor refurton resorts island, punta cana, india!book hotels near d'arm",-,-,-,48.97,Difficult,12th and 13th grade,20,11,2,6,,,
-,-,"reservation costs. great rates.book your hotel in eden river pa onlige tri, austr",-,-,-,66.74,Standard,12th and 13th grade,20,13,1,4,,,
-,-,"great berseater. retunite, new york.aviva, san astral. secure vaceater for",-,-,-,68.13,Standard,10th and 11th grade,16,10,3,4,,,
-,-,"secures on prag beach hotels. save big on hotels in osaka.the center, seefom",-,-,-,84.03,Easy,5th and 6th grade,18,13,3,5,,,
,,,,,,,,,,,,,,Difficulty,count
,,,,,,,,,,,,,,Very Easy,5
,,,,,,,,,,,,,,Easy,14
,,,,,,,,,,,,,,Fairly Easy,27
,,,,,,,,,,,,,,Standard,26
,,,,,,,,,,,,,,Fairly Difficult,15
,,,,,,,,,,,,,,Difficult,10
,,,,,,,,,,,,,,Very Confusing,3
